
key = model_output

all_variance

key = all_variance

,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,asof
DIA,0.00027216322760570025,0.00027703613127743443,0.00026865980727943284,0.00019940446529486918,0.0002202846623718596,0.00019313242814123104,0.0002617287846515434,0.0002479477642028225,0.00022653566906723454,0.0001700471145751809,0.00020410719116024465,0.00020148774021608217,0.00022101708981607559,0.0002337019409497818,0.00023831587599025566,0.0002306870754034002,0.00022547608859211667,0.00022694485311326599,0.0002248390241541078,0.0002229480952765483,0.00021805663750610766,0.00021692466878602928,0.00021256379211977982,0.00021994220949598782,0.00021678292260192276,0.00021873062728994074,0.0002167091247321826,2024-12-27
SPY,0.0003540020046333136,0.00034131251350140207,0.00033706369221840507,0.0003125643170165051,0.0002800234215037778,0.0002449424677821175,0.0002559892321873153,0.0002852834586635874,0.00028839269923119747,0.0002500098257558696,0.00027776989679598695,0.00025473360835284205,0.0002835662772958459,0.0002916299249606799,0.00029138843791120465,0.0002746594321854609,0.00027334332687541877,0.00026953500940731005,0.00027791718607038233,0.0002732732273675472,0.00026878881172067245,0.00026597246229378583,0.00026590323749289363,0.00027378153318538713,0.000271695269653317,0.0002740318373203946,0.00026952313317895146,2024-12-27
VO,0.0003812259003122417,0.0003522829680651826,0.0003164892784303939,0.00038221585926389613,0.00026201855947642627,0.0002992314549108042,0.00027533143096305075,0.0002971000157979993,0.0003033446520297238,0.00022617471455856563,0.00026419825120218475,0.00026537622776576925,0.00027674956570752923,0.00031148968121559253,0.0003116765020063229,0.0002955052934354721,0.0002913394693340471,0.0002802480473833268,0.00028599640007499484,0.00027770909845295017,0.00027020244148820747,0.00027112234556595774,0.00026744405306485365,0.00027762565083966573,0.0002747515158970482,0.0002745532823392894,0.0002711628117311913,2024-12-27
IWF,0.0006203335583186998,0.0006042694836797403,0.0005120751933439012,0.00043287538786615303,0.00044008330701518657,0.0004598053889875829,0.0005089545601567837,0.0005042733116579975,0.000543732055699467,0.00043280450866648427,0.0004596463015121091,0.00046060750088117863,0.0005451645801404169,0.0005976193958175742,0.000625964988242078,0.0005626583733573171,0.000572002044164615,0.000585476673362855,0.0006226734919735226,0.0006267567320787591,0.0006224867816930084,0.0005870755813606383,0.0005847653282120311,0.0006113424798837968,0.000632972476549737,0.0006599565958292601,0.0006481215877977212,2024-12-27
XLY,0.0007088560398598677,0.0006783655664307865,0.0006721860071369893,0.0005054157693774558,0.0005068599654089118,0.00043638438920193116,0.0004690598889161823,0.0004892240456052715,0.0005181383858349216,0.000490096612320112,0.0005603441358876073,0.0005133939202952148,0.0005633524546531977,0.0006003383803589884,0.0005966102614060065,0.0005511300837112398,0.0005478402282492199,0.0005316950202948894,0.0005461587723379203,0.0005514222898504587,0.0005459156625953281,0.0005575134938404417,0.0005607625309594712,0.0005730933304247761,0.0005729147563265841,0.0005743547724463506,0.0005598666001339105,2024-12-27
XLP,0.00017329395707970134,0.0001554843675537414,0.00014598147446997226,0.000136141991970859,0.00012865141220201503,0.00011855682585902488,0.00012429200316308006,0.00013602349855525118,0.00013555188207320002,0.00011519672087278959,0.00012311351870962514,0.00012127735248428694,0.000128477271833024,0.0001468501579517957,0.0001576938082525645,0.00014972956596606414,0.0001468529613161428,0.000147241746902066,0.00014697334836068896,0.00014967802512276749,0.00015021696121422654,0.00014799824816113489,0.0001446711420052893,0.00014959915532786137,0.00014968195812625805,0.00015117320311251167,0.00015313785947368146,2024-12-27
XLE,0.0009262865726516544,0.0008509638955971871,0.0004958795062940523,0.0006073263539422999,0.0005512034286566529,0.0005918666128957556,0.0005720688555340307,0.000573897063159828,0.0007273131160192588,0.0005864462946984506,0.0005933246434751126,0.0006510728205493061,0.0007354710166365282,0.0007825743556704346,0.000719442986844355,0.0007566822538831925,0.0006974493485738011,0.0006819185213619315,0.0007213274420574102,0.0006612141412226363,0.0006954927283595261,0.0006681836209838219,0.0006467050760068877,0.000658384048957593,0.0006584225664260305,0.0006762551973590733,0.0006484736051647931,2024-12-27
XLF,0.00038064371963911984,0.00037057964467208324,0.0003818822585633195,0.00031704432065504483,0.00032567739876149064,0.00028399547335319805,0.0002740587480926154,0.00028075407900496525,0.00029066394020798637,0.00027121148374862936,0.0003254623884147489,0.00029252009272041695,0.00030461947626299275,0.00031718405161329846,0.00032504271186734507,0.00031986250034426756,0.00030739049551059566,0.00030258719236169444,0.0003013118695549976,0.0002904217199870009,0.0002861617499435978,0.00028519174247595427,0.0002773527472441726,0.0002819353340356333,0.00027782377429143496,0.00027519012043727785,0.0002746945983038932,2024-12-27
XLV,0.00026151088214125323,0.0002602746132689068,0.00023076883810279933,0.0002176262725929236,0.00024266845395385023,0.00020925840624910134,0.0002201296318493174,0.0002483123998033825,0.00023448040629759663,0.00022871598101665343,0.0002504658719415911,0.00022753209126167968,0.0002785870045603858,0.00029347856618764317,0.0003006691089463455,0.0002963276466269147,0.00029411415975712213,0.0003002464699459361,0.00030567292817829914,0.00031836391803757966,0.0003259857562611078,0.00032589721803382,0.00032250318761368476,0.00034416236491513236,0.00034187092130001174,0.00035879898968419377,0.0003661708911346071,2024-12-27
XLI,0.00040979161677010375,0.0003960783750245935,0.0003786102376897996,0.0003742099325526212,0.00031405073755822095,0.00032456248438771215,0.0003311915849448819,0.0003110559821285746,0.00036455329372307287,0.00026095575569122986,0.0003223478250473512,0.0003337542182901147,0.0003480405670405481,0.0003682981327508642,0.0003805140287369865,0.00036061824226248817,0.0003539384091540595,0.0003344344016809584,0.00033567429770963017,0.0003229912049798749,0.00031832581313986463,0.00032224802237907333,0.00032170005219142643,0.0003319663783560077,0.00033020767050763325,0.00032919096112376877,0.00032373970723761306,2024-12-27
XLB,0.0004899093578028607,0.00036319097272933767,0.0003866771516087886,0.00038932448862663875,0.00030979080693270333,0.00042401327574763056,0.0003732566174813182,0.0003641928473797305,0.00041596526962094376,0.00030590387615532033,0.00037664688981177213,0.00031840599160862996,0.000320766419889573,0.00040434513898427333,0.0003870832863077954,0.0003967116873885441,0.0003968476028082546,0.00037689516910375626,0.00040141483701122054,0.000370050923133878,0.00035889267658625564,0.00036617900582676226,0.0003504623329860004,0.0003759451814017037,0.0003680714198653547,0.00036237227465907073,0.0003639971646270736,2024-12-27
