
key = model_output

indiv_var_parts

key = indiv_var_parts

key = comm

,"(1, 1)","(1, 2)","(1, 3)","(1, 4)","(1, 5)","(1, 6)","(1, 7)","(1, 8)","(1, 9)","(1, 10)","(1, 11)","(1, 12)","(1, 13)","(2, 2)","(2, 3)","(2, 4)","(2, 5)","(2, 6)","(2, 7)","(2, 8)","(2, 9)","(2, 10)","(2, 11)","(2, 12)","(2, 13)","(3, 3)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(3, 8)","(3, 9)","(3, 10)","(3, 11)","(3, 12)","(3, 13)","(4, 4)","(4, 5)","(4, 6)","(4, 7)","(4, 8)","(4, 9)","(4, 10)","(4, 11)","(4, 12)","(4, 13)","(5, 5)","(5, 6)","(5, 7)","(5, 8)","(5, 9)","(5, 10)","(5, 11)","(5, 12)","(5, 13)","(6, 6)","(6, 7)","(6, 8)","(6, 9)","(6, 10)","(6, 11)","(6, 12)","(6, 13)","(7, 7)","(7, 8)","(7, 9)","(7, 10)","(7, 11)","(7, 12)","(7, 13)","(8, 8)","(8, 9)","(8, 10)","(8, 11)","(8, 12)","(8, 13)","(9, 9)","(9, 10)","(9, 11)","(9, 12)","(9, 13)","(10, 10)","(10, 11)","(10, 12)","(10, 13)","(11, 11)","(11, 12)","(11, 13)","(12, 12)","(12, 13)","(13, 13)",pred_err
DIA,1.8932222263861999e-06,-5.8744947631063257e-08,2.774762824759381e-07,4.2698296490798203e-07,2.2213919090802843e-07,4.1745880849895275e-07,1.6463639491028446e-07,4.678307100160292e-07,1.6310129365296412e-07,9.381875926467586e-07,-1.036906729346245e-07,9.444113249064553e-07,3.1692089329860947e-07,2.1051660847942797e-06,1.2007678211861135e-07,1.9567839355154483e-07,2.048495632733811e-07,2.5533969467346447e-07,8.246478404547623e-07,2.6478283050483483e-08,2.2129627016075452e-07,-1.431457288265918e-07,1.0089490308436647e-06,1.223494445173851e-06,-2.0169107030288328e-07,1.234286975275778e-06,1.990879580887067e-07,1.63503527814224e-07,1.3499394754685973e-07,4.6416555292592027e-07,4.655458584103319e-07,-2.3211626037326937e-07,6.012430605823216e-07,7.36428982447664e-08,1.0182574274359351e-06,2.1979947321172617e-07,1.5162745584457911e-06,8.672317760331155e-08,1.0971422718982681e-07,8.854253761253692e-07,2.492272973469953e-07,3.5307144222150734e-07,1.0168253545837368e-06,1.553789451397134e-07,1.0749890530389112e-07,-3.9217503391499426e-07,2.4991974897051878e-06,3.119638719638498e-08,8.742658516843704e-07,-3.43495173441015e-08,3.504970915244251e-07,7.128100590281864e-07,-8.155104959955803e-07,-2.4492476184733387e-07,3.2214826372649233e-07,1.3840099696074237e-06,1.210250875910704e-07,2.3715136227680774e-07,1.0391987317538685e-07,6.791288127952735e-07,3.628782808990544e-07,1.901426912546605e-07,4.817688294526631e-09,4.817572161511891e-06,5.594152047226781e-07,1.0778594481779379e-06,1.2286090908178924e-06,8.444267931540657e-07,-9.390851970066941e-08,1.1876529643180193e-06,2.877368746460911e-06,-5.686716481778301e-08,9.26187501084856e-08,9.891674852832585e-07,-1.2486527140979275e-08,6.284306588124108e-07,1.9952461341797512e-06,-1.611272108019692e-07,-8.3423337422715e-07,1.5755291734221078e-07,4.431235081550232e-07,3.344340212828546e-06,-2.0440961209965945e-07,3.355632660294504e-07,7.777754828881752e-07,2.0757448773723353e-06,7.802045196955899e-07,-3.292853452659187e-08,4.178968849323873e-06,-2.418856425202486e-07,2.910454662956885e-06,5.7787967745741115e-05
SPY,2.699926948228064e-06,-9.285784925849248e-08,2.943289753594352e-07,3.241406962241627e-07,5.468680649280287e-07,8.095350281640417e-07,2.718326252859601e-07,3.391021184546315e-07,1.4071155715062044e-07,1.3459521317921842e-06,-1.199337719423258e-07,1.4425044077307194e-06,2.5271374236737027e-07,2.8971054363556103e-06,1.0798845794720757e-07,3.3881019367711794e-07,2.0345854404740066e-07,5.000630019294716e-07,7.886293244686839e-07,3.440067856036527e-08,3.536353723858331e-07,-1.819031248744594e-07,1.4077333725318319e-06,1.9166674315249422e-06,-4.347635932556292e-07,1.405348810412098e-06,1.6334291086574705e-07,1.682009131894904e-07,1.2561988184184114e-07,2.9736467934636494e-07,3.70935624643636e-07,-4.330524573717055e-07,3.4290717400091073e-07,3.678634005043838e-08,1.4194327606742958e-06,1.1563402615540228e-07,1.3208402389437137e-06,1.0280508261827025e-07,2.584815249876102e-07,6.205484465614162e-07,2.3941596830271506e-07,5.227901609678359e-07,9.623352930610123e-07,8.97577374701527e-08,1.806176970046585e-07,-2.0745845495977977e-07,2.9827353064189076e-06,1.126892605302022e-07,6.34787293198282e-07,-7.744314940846386e-08,2.866443918112404e-07,1.2119651164122925e-06,-1.2747847951016809e-06,-3.103577922869108e-07,2.5486104292118344e-07,2.1495358369933773e-06,1.2799022807907296e-07,3.1536505098158454e-07,1.631326346099894e-07,8.947163706197073e-07,6.041411836139601e-07,7.05911080650311e-08,-3.4667238469708578e-09,4.226245537725428e-06,2.7544322168930686e-07,9.21187073622208e-07,9.054405015048847e-07,9.27071260286742e-07,1.22919033271198e-07,9.420297523950532e-07,2.0139572085824214e-06,4.814164380667586e-08,3.6611417725526857e-07,5.338296292039565e-07,2.304901789613957e-08,3.0411511237470673e-07,2.5348476381475397e-06,-8.174150996793513e-08,-1.1533095876112444e-06,2.0810892208508534e-08,4.497600771049513e-07,3.6061616594325592e-06,-2.2611228033013254e-07,9.564173030496941e-08,5.10761640568112e-07,2.657298610343893e-06,9.590110623462488e-07,8.54849813637763e-08,5.496533138981231e-06,6.941373745274401e-08,2.4836217800692873e-06,6.504458652286312e-05
VO,3.175373541641213e-06,8.364930151715801e-08,4.449022266166599e-07,6.042413585336929e-07,5.413573713322529e-07,8.246522974669358e-07,3.731221411291498e-07,5.1426220151348e-07,-2.5223266134140193e-08,1.4562804149224602e-06,2.4831248944461814e-07,1.1586544528364636e-06,5.155507898121555e-07,2.845202129677509e-06,-3.778135872654148e-09,3.5862380638034395e-07,1.7196437752839938e-07,5.08747281488771e-07,1.1792305851093453e-06,7.276773471140347e-08,4.339161285683682e-07,-1.0271264128680386e-07,1.4386776609574595e-06,1.3948508454165997e-06,-1.8591632993512465e-07,2.062085690370452e-06,3.250555721990455e-07,1.254169967203008e-07,4.2776101334687163e-08,5.632060845755622e-07,6.37105772155708e-07,-3.569487280716372e-07,7.21379442789279e-07,3.788030662410798e-08,1.578614749123847e-06,3.515846928394424e-07,2.3114315589634406e-06,1.217972108246911e-07,2.078969318288477e-07,1.1196811136574725e-06,3.772355978113645e-07,4.852039336322436e-07,1.3412187430856235e-06,2.9004883331653847e-07,6.220344759084007e-08,-1.396631136569857e-07,3.067075236404806e-06,1.546965572979594e-07,1.1455800816801903e-06,-2.5866413667134136e-07,4.678391887497464e-07,1.069603788066987e-06,-9.019956293833968e-07,-2.3669092859575182e-07,3.573418194104009e-07,1.898374826492207e-06,2.770606801784425e-07,3.121689070139139e-07,7.04241811437029e-08,1.246455181383251e-06,7.44836756392382e-07,2.4330723060589064e-07,-1.496730092804087e-07,6.403594492188523e-06,7.353745023601691e-07,1.3725425832113993e-06,1.7118177946543914e-06,1.4990941618096679e-06,-1.7712357859336706e-07,1.624159924381734e-06,3.926104577610677e-06,-1.6119498777967463e-08,2.497887685437272e-07,1.3286162018429923e-06,-4.216704304040135e-08,9.891624462718255e-07,3.0993380489041794e-06,-1.61084978602741e-07,-9.515948609495666e-07,2.2205715672940365e-07,7.409532275355723e-07,4.786055138520958e-06,-1.7552481722974903e-07,4.789562331167915e-07,9.830553813086073e-07,3.5433770701141227e-06,9.714569251755258e-07,-2.1416281428158964e-08,5.2487395674763005e-06,-2.74873515454932e-07,4.613450588759986e-06,8.10569697565555e-05
IWF,4.759288099644932e-06,-3.12924524337208e-07,4.993536893338817e-07,3.581984725963396e-07,9.707686184686716e-07,1.5039092985574785e-06,4.269092674988666e-07,5.356268541956458e-07,5.244391367200868e-07,2.473342067167296e-06,-4.157552441348735e-07,2.9507257814642153e-06,3.552401331563776e-07,5.51588832299501e-06,3.0603631791545747e-07,7.220379952833274e-07,3.571695427264484e-07,8.551611909424813e-07,1.1108894550503654e-06,6.735451175542957e-08,5.111904494564856e-07,-3.8392810811113235e-07,2.662080957594619e-06,4.196356974737071e-06,-8.77256580680661e-07,2.064875795708858e-06,1.1910093278625037e-07,3.4478210098056895e-07,2.6467720006706936e-07,3.0317667060848e-07,4.6618225584298025e-07,-6.999873093716813e-07,2.448384847899437e-07,1.0829383205096063e-07,2.602103788523206e-06,2.090397040884919e-07,1.7295500668278047e-06,2.9933121720825e-07,5.077706295719495e-07,5.915748684485008e-07,2.757970587970039e-07,1.1341117629951752e-06,1.393901490936371e-06,5.954366149185177e-08,4.5391258322418343e-07,-1.2817026430264018e-07,5.207158241954753e-06,9.168108634742427e-08,6.448383834604091e-07,1.4224433731121377e-07,3.8258251200523226e-07,2.221520895916724e-06,-2.255889345411645e-06,-8.289588224112579e-07,3.440676223566581e-07,3.916860543093784e-06,8.369010624531046e-08,6.295225695399832e-07,3.276976578769764e-07,1.4212131672462552e-06,1.0089612622819443e-06,-5.481333891897647e-08,1.417788775488139e-07,5.125420213942305e-06,1.1822417020100225e-07,1.160021399590261e-06,7.380358607641667e-07,1.14434237794791e-06,5.764181977389705e-07,9.124647470950263e-07,2.0963699780615426e-06,1.1844460909477208e-07,8.965022545973619e-07,3.727639553648291e-07,1.5667464622797588e-07,3.547252711080913e-08,4.423860719814883e-06,-4.1741687926810865e-08,-2.1166252933889558e-06,-7.365124743045928e-08,5.004082657163098e-07,5.754550486968974e-06,-4.623830745148797e-07,-1.842331867646017e-07,5.454419685507307e-07,4.725272180704634e-06,1.7900347862434593e-06,3.2106409188927904e-07,1.0495143624754602e-05,5.901088024435263e-07,2.8853523388803104e-06,0.00010763749767974847
XLY,4.415332242909938e-06,-2.625899425054123e-07,6.481800103127397e-07,3.928775349928331e-07,8.17813440027211e-07,1.1975329276191356e-06,3.0416887322737873e-07,3.7979198129166793e-07,2.157574712571668e-07,2.1760579701695476e-06,-2.6142959964185293e-07,2.614536689406043e-06,6.133662440732352e-07,5.091636921045206e-06,2.4749141656130486e-07,7.779526546416972e-07,1.586718278549375e-07,7.53751354463212e-07,8.94144731487753e-07,1.4622959293918494e-08,4.3128524448459777e-07,-3.981737964414022e-07,2.49612335597458e-06,3.73284296037354e-06,-4.482135656425315e-07,2.138364589014901e-06,8.37802676936222e-08,4.065325280898506e-07,2.3389702517704167e-07,3.952339408129869e-07,2.689759204399493e-07,-6.173332656370516e-07,2.798020182168892e-07,7.946789302981318e-08,2.3568520046795417e-06,2.2924255696446233e-07,2.0220625633667673e-06,1.0447008597144954e-07,4.615876937743198e-07,6.661133786918972e-07,2.852104305991285e-07,6.039686477088135e-07,1.4704671513994536e-06,6.865171501417538e-08,4.5576504237072464e-07,-3.673292320390411e-08,3.898836372155545e-06,1.2831236232010202e-07,6.701502822948621e-07,8.41218205857655e-09,3.634606079225261e-07,1.5339591520785023e-06,-2.1764216115852402e-06,-1.1562861299286505e-06,3.030900106940328e-07,2.925348925402119e-06,1.4125787192197494e-07,3.4335622151524324e-07,1.7383967754874844e-07,1.1622561324038202e-06,9.431598469190469e-07,-1.3627287582726523e-08,-1.811436547891735e-08,4.195976853517966e-06,3.53427432217148e-07,8.367830903701389e-07,9.106973340498682e-07,1.1033436739231677e-06,4.181069821721957e-07,7.491525367915723e-07,2.2426078509471055e-06,1.0194991049389963e-07,2.2404839491693897e-07,6.743775414080128e-07,-5.549502532685258e-08,5.186591281808781e-07,3.926462192852748e-06,-5.983723632677666e-08,-2.630136184098767e-06,-2.4978486704114593e-08,3.36401197449214e-07,4.997453321909605e-06,-4.666856547683814e-07,-1.575412447886546e-07,6.365530428563223e-07,4.786331815302175e-06,1.648500685485727e-06,2.1522647449683172e-07,9.585080563603744e-06,4.578037149763893e-07,3.833772879797744e-06,9.762608838476578e-05
XLP,7.478448798084848e-07,-4.5233249885353335e-08,6.923325799355804e-08,2.0883535224145006e-07,1.1680797164469161e-07,1.7724397551066363e-07,-6.497469232193243e-09,2.4338674210054487e-07,2.9404932440927778e-08,5.024366618107253e-07,-6.569446784727211e-08,3.418055635221886e-07,1.721150097752924e-07,9.84050785909947e-07,1.4617049399316046e-07,7.289480564093175e-08,2.1982627360218812e-08,9.55264786880618e-08,4.4374493716382376e-08,1.1999948113895892e-07,7.027918680208204e-08,-1.025625350410044e-09,4.604815458811452e-07,5.623483169026844e-07,3.989189923435119e-08,5.259468080653534e-07,1.0527518711087175e-07,2.3059493770488395e-07,7.823074156205212e-08,1.9475675756308264e-07,1.5004542511477706e-07,-1.2180734735133274e-08,2.2828731508585313e-07,5.069252129362375e-08,2.7471887020190655e-07,1.9347719561894894e-07,8.888624737543996e-07,-8.563167489268959e-09,5.539065814081446e-08,2.4098067531678206e-07,6.29699431919279e-08,2.2553819497186147e-07,3.571570408068333e-07,2.6601314314504074e-07,1.1141577703520156e-07,-2.730181266671122e-07,1.0003497268770395e-06,6.499442480490937e-08,1.950821237102773e-07,1.9721334596258816e-07,1.5002152818692847e-07,-8.640494295780392e-08,-2.1767301956478167e-07,-2.2228340794671282e-07,2.3136705778803847e-08,8.052813528885288e-07,1.2978125615287673e-07,8.595121278658162e-08,7.559899970687042e-08,3.9187268914214694e-07,3.2405602422225355e-08,2.021607688037471e-07,-8.620523068000894e-09,7.887526444127726e-07,3.2940056413095204e-07,3.945126380126115e-08,3.318390108737226e-07,1.7230834059922557e-07,1.7040110706596392e-07,2.0042764404588373e-07,1.431264580131038e-06,-1.0947706463322491e-08,-3.127193144971915e-08,6.110429491342165e-07,-1.0237023188846653e-07,4.5218825910353825e-07,9.710452893131665e-07,2.787756122948441e-08,-9.420960127252978e-08,8.74174831281121e-08,9.22834611129739e-08,1.3963181353242206e-06,-1.064956569167696e-07,8.114186003321836e-08,3.516375946396945e-07,1.3199645760527175e-06,3.8175376488376107e-07,-7.676771352829661e-09,1.779183668159249e-06,-1.733714631493511e-08,9.892899056512793e-07,2.3513302840305716e-05
XLE,6.073845219841334e-06,5.625425266036243e-07,5.814244208679965e-07,9.351458082571717e-07,1.8467220257090758e-06,2.2342238491512565e-06,1.6367058740355767e-06,5.618744091661961e-07,-3.5245217183456727e-07,1.9140146507567238e-06,4.788885867826636e-07,2.2224041568981187e-06,-3.9880454377095024e-07,5.000653736606654e-06,-5.245725896839071e-07,4.4882220716727247e-07,7.634936837569948e-07,1.5913704464812897e-06,3.6353988592812803e-06,7.389381716225263e-10,1.978277407127518e-06,-2.289513605754221e-07,1.5850647008409783e-06,2.200892244512192e-07,-1.5335522262119488e-06,4.374749423748841e-06,5.992435902337164e-07,-3.01803025135185e-07,4.528299606398285e-07,2.848925452741782e-07,1.74994271119298e-06,-1.887841605344464e-06,1.0806358013274083e-06,-4.0964726238785727e-07,2.9158855068543158e-06,-2.072583216081885e-06,3.385547941229669e-06,2.232351600046449e-07,9.663437098714813e-07,3.2645581681400462e-06,1.0861015541520727e-06,1.278536464365339e-06,4.916714803285394e-07,5.684802627304196e-07,6.082049683971453e-08,5.155715323462534e-07,9.308046373883134e-06,7.031094338933031e-07,2.9699918473748922e-06,-9.58924654704141e-07,1.2829599967137671e-06,4.752689530195413e-06,-2.9855986078177133e-06,2.774719192960914e-06,1.4206493545752227e-06,6.677519415537863e-06,5.109899903411727e-07,9.15257087059074e-07,1.1834984045736242e-06,2.601389523643604e-06,1.1016587199902572e-06,2.835446383536253e-07,-3.1416451953647684e-08,2.1439448203829044e-05,-6.22906039658318e-07,5.025442676385577e-06,4.45022417494939e-06,2.4987123317875486e-06,-1.575187478356021e-06,5.0736733967015185e-06,5.2457242604878e-06,-1.0954738019524198e-07,3.3609080846462243e-06,6.324959864666715e-07,3.601559938901788e-07,-1.8148080068003487e-06,6.469939197352007e-06,-1.02698187049486e-06,-3.4532200237682583e-07,5.358324476791891e-07,2.141907263656521e-06,8.239991984553923e-06,-3.169331535045635e-07,9.935000539874528e-07,6.041514821498756e-07,4.39008299427999e-06,5.411806722148872e-07,2.7505124924335436e-07,7.097501283325839e-06,-8.911531749531052e-07,7.2847075758543386e-06,0.00016610135167535725
XLF,1.994681926494316e-06,2.392284184962522e-07,2.985419462011334e-07,5.912846119841727e-07,3.4467717882547137e-07,5.086944508310071e-07,4.1871304619014964e-07,4.927308100711982e-07,-1.36600367026069e-07,6.414699037427373e-07,3.2501493653218824e-07,3.9475927035485177e-07,2.312267569389588e-07,1.3109982119014084e-06,-1.778600389120554e-07,9.212764969495206e-08,2.651332390971541e-07,3.575339025272872e-07,1.401777620534888e-06,6.679005764874816e-09,4.863351984930541e-07,-2.3668609892767693e-08,5.09209471227899e-07,-1.980707139855323e-07,-1.7362084874769014e-07,1.6814130691690455e-06,3.40349448721569e-07,-7.327820341368417e-08,5.736578113188791e-08,5.131953301046927e-07,7.501857746256146e-07,-3.834591118088812e-07,8.432008273086066e-07,-3.830731929594557e-08,9.188438311245827e-07,-7.669404513381067e-08,1.9083496531946325e-06,9.990566942023504e-08,1.1689482366917594e-07,1.4600059843419628e-06,4.1636874996366195e-07,2.8298967572150463e-07,8.043193333172056e-07,2.722482856956311e-07,-1.1210503751526966e-07,-1.810300706689747e-07,2.8042708862553203e-06,1.0294384187929158e-07,1.4244694581827643e-06,-3.4141039407921747e-07,5.149251351810844e-07,1.0243520226521579e-06,-4.8100286833553e-07,5.940839590946806e-07,5.276477311175753e-07,1.4239867758479753e-06,2.1751948938759635e-07,2.805434519627737e-07,1.8906324683482413e-07,9.116287839366521e-07,4.370913038834993e-07,2.332867921016496e-07,-1.2384003183145716e-07,8.237114164947198e-06,5.603356307931397e-07,1.907485395391231e-06,2.119573977017392e-06,1.3092916248944052e-06,-6.891283153428865e-07,2.125741667904453e-06,3.915439298751649e-06,-1.2841068758029036e-07,4.6840716281543234e-07,1.2307102017078724e-06,1.5984960294758794e-08,5.190838777061326e-07,2.146851051086182e-06,-3.6034784815723716e-07,-1.0187842813903985e-07,3.284857077424224e-07,8.630648618479218e-07,3.6768820834174837e-06,-9.388432795099731e-08,7.398310334724152e-07,8.848850677742921e-07,1.8400339050583991e-06,3.3523454444470875e-07,-1.0825880501464283e-07,2.168406027200163e-06,-7.265819733441277e-07,4.222215534500588e-06,6.301531829103594e-05
XLV,1.4693411382851951e-06,-2.4296248622341533e-07,2.76051863553966e-07,3.274343233866307e-07,5.651655120580726e-08,1.4688885960054358e-07,2.8938081319685792e-08,3.384082655090334e-07,3.296352067470208e-07,1.0749960713441411e-06,-3.7405748948071084e-07,1.1144468961407664e-06,3.721804738250435e-07,2.554399129827721e-06,3.346176747780753e-07,2.7835022719449976e-07,-1.07698250099594e-08,8.109025722071075e-08,3.812006785224045e-07,6.667491993403466e-08,4.4508558487776817e-08,-2.25591069757399e-07,1.2803086096057633e-06,2.0157581535094077e-06,-1.5947462003903198e-07,9.428514293790224e-07,7.964373533295509e-08,2.9394578483423297e-07,1.6309781846261435e-07,3.783919013266098e-07,2.7930962250841446e-07,-9.929533683733912e-08,4.1875506200619086e-07,1.2225252961779276e-07,1.042738684765113e-06,2.302884993686826e-07,1.4307812647755647e-06,5.902672412649938e-08,1.0707248511789921e-07,5.387285944759264e-07,1.5596900974593032e-07,3.5952714576937915e-07,1.091978895396171e-06,1.8079678098881104e-07,2.8928524641373285e-07,-3.475995310042897e-07,1.600714321746257e-06,1.0562835564468265e-07,5.305967875658668e-07,2.75272901859357e-08,3.0477517559914693e-07,3.013417597976886e-07,-9.026062695508613e-07,-8.848183771115142e-07,1.4188874779085395e-07,7.66639820789461e-07,1.554862202097118e-07,7.256285876959717e-08,-6.565099200428488e-08,5.965481993592843e-07,1.4703879000879033e-07,3.098965156893553e-07,2.7548411456834738e-08,2.2321325158732737e-06,5.065814211094275e-07,4.1074038532839425e-07,6.63515995418456e-07,4.317218894293174e-07,2.0763481028238082e-07,6.139027157040601e-07,2.0812981506449675e-06,-4.308286860214314e-08,-6.931334252783261e-08,8.780237262215354e-07,-6.353059266653227e-08,6.581605365897655e-07,1.910735380757529e-06,-5.482180010838363e-08,-1.271445726534163e-06,1.0670872808708805e-07,1.0548297208698324e-07,3.029226782047581e-06,-2.5013693426966563e-07,3.417982902025183e-08,6.623825041686349e-07,2.349681751262942e-06,1.0113167552945022e-06,3.34577551665617e-08,5.256650233526249e-06,1.511973305110877e-07,2.1011579114990356e-06,5.105641959380056e-05
XLI,2.901722609676078e-06,1.1768608973041627e-07,3.629813638747737e-07,6.148373421880421e-07,5.540276494635093e-07,8.173106938654345e-07,5.161740624607445e-07,5.785391564557498e-07,7.258358941502269e-08,1.2358588281866787e-06,1.2314329581984048e-07,1.11784871380002e-06,2.2310466934577145e-07,2.639487211295164e-06,-5.5316014352358045e-08,2.7829210569731537e-07,3.07343191123844e-07,5.212438624927443e-07,1.576449513513985e-06,4.15079115289522e-08,5.863484715087242e-07,-1.25008957719393e-07,1.1008520611012513e-06,9.603691565216015e-07,-4.449172520962446e-07,1.997562550121848e-06,3.0462338083639815e-07,-5.395580715994378e-09,1.2375427075732298e-07,4.914023786752868e-07,8.175152391263898e-07,-5.280627579777648e-07,7.91283133117439e-07,-1.098681586112867e-08,1.5342380762296824e-06,-1.5032055685361153e-07,2.158377927961927e-06,2.1252278592526765e-07,2.4848959408912807e-07,1.4649608162056413e-06,4.460837512024338e-07,6.181682974145318e-07,1.007709821914629e-06,3.1048150610628873e-07,4.053563533912574e-08,-1.197715699678722e-07,3.870942932735919e-06,1.3090105517989387e-07,1.4475267473298739e-06,-2.703190159354741e-07,5.916764781471007e-07,1.554124909396539e-06,-9.731407379378462e-07,3.50966033120632e-07,5.627330719679659e-07,2.2477347593809354e-06,2.2490513312728038e-07,4.292146516527891e-07,2.574337327139069e-07,1.2445482058078502e-06,5.897112481210124e-07,2.212986471862381e-07,-4.421931353233116e-08,8.782558027937315e-06,4.4799328042372174e-07,2.0453364530116307e-06,2.0553238891786153e-06,1.3860076717824388e-06,-4.782493634229469e-07,2.1677358051402515e-06,3.9512291391245065e-06,-9.976453118792838e-08,8.372508843634278e-07,1.14746982745994e-06,9.282200160443052e-08,3.2072007039873093e-07,3.2014875402035084e-06,-3.496529391161183e-07,-5.264501344234126e-07,3.0566065002846367e-07,8.860556052906324e-07,4.859001428881079e-06,-2.0427855364977524e-07,5.939704523214859e-07,8.818302196979005e-07,2.8648813350760572e-06,7.52003346001988e-07,3.174529168586775e-08,4.7312263757882795e-06,-4.491444724355537e-07,4.34088364624695e-06,8.512507476328715e-05
