
key = model_output

stdev

key = stdev_vec

,StDev 2024-12-27
DIA,0.015280609307268178
SPY,0.017026725849145982
VO,0.017652981746670782
IWF,0.02435086747080396
XLY,0.024419045934836608
XLP,0.012116095357862981
XLE,0.02804682524551399
XLF,0.01782629528268801
XLV,0.017130792309449278
XLI,0.019201461087930853
XLB,0.020165141733920817
XLRE,0.02148281664655628
XLK,0.03214023476787176
VOX,0.01794288795407325
XLU,0.021146727291804498
GDX,0.04235024478592695
GUNR,0.01973638859474555
IXUS,0.016564750201110867
EFA,0.017545170006207873
VGK,0.018033391468960373
SHY,0.0026507719371523454
IEI,0.006329503311702686
IEF,0.00999832864894991
VGIT,0.007109103717922193
TLT,0.020561838736994728
GOVT,0.007927596021941784
MUB,0.005048026829562646
VCIT,0.008183039167058058
VCLT,0.015322446673165405
LQD,0.01053940271995782
HYG,0.005710511299177866
SHYG,0.004471783099858661
MBB,0.008893734546367882
VMBS,0.008490856620555208
AGG,0.008086988975744044
BIV,0.008365779648191993
BLV,0.016747583915724243
BNDX,0.00497105606888022
EMB,0.009725139312319747
GLD,0.01961125218544391
SLV,0.03908951133478566
USO,0.03838853239643641
PDBC,0.01990204290630567
VNQ,0.021058135280803893
VNQI,0.018061351056276733
QQQM,0.02551542473220586
VTWO,0.028863391996740165
EEM,0.020501754211056048
EWZ,0.0249999115730855
FXE,0.007554252794143254
AMZN,0.03654903500750588
AAPL,0.03111002297096053
GS,0.0307713928411664
GOOGL,0.03836132923780494
IBM,0.03284011862672832


