
key = model_output

vi2_attrib

key = vi2_attrib

,Common volatility,Common serial-correlation,Idiosyncratic volatility,Idiosyncratic serial-correlation,Prediction error,Total,asof
VIXCLS,0.09192758423188158,0.11797526690482708,0.0016793005789041459,0.00010078445710152879,0.7883170638272856,1.0,2024-12-27
VXDCLS,0.10495117397434102,0.14597495180718903,0.004563506882369369,0.004398582913779421,0.7401117844223212,1.0,2024-12-27
VXNCLS,0.06360515495512598,0.07730673009258611,0.019462966684338005,0.07283693829898336,0.7667882099689666,1.0,2024-12-27
RVXCLS,0.07925914716731626,0.11505920424024557,0.00828230766125574,0.03352560014945748,0.7638737407817249,1.0,2024-12-27
VXEEMCLS,0.08660090811929674,0.14786144941541113,0.014774276522177922,0.02960901421435307,0.7211543517287611,1.0,2024-12-27
VXEWZCLS,0.04352869413738893,0.06931221924724403,0.003022065358053841,0.014596864738055356,0.8695401565192578,1.0,2024-12-27
GVZCLS,0.025792437643506583,0.03970379541890728,0.022726934036587074,0.11412258371620003,0.7976542491847991,1.0,2024-12-27
OVXCLS,0.09111153374272485,0.11737811008265397,0.03393949715872286,0.11250094725791457,0.6450699117579837,1.0,2024-12-27
EVZCLS,0.04495612684334601,0.06443198855400677,0.018765254947162274,0.07138835095272983,0.8004582787027551,1.0,2024-12-27
VXAZNCLS,0.06782280755168896,0.07686350522643812,0.05711782370886708,-0.012757048923749048,0.8109529124367548,1.0,2024-12-27
VXAPLCLS,0.048751555240908094,0.06258639370473583,0.01842915221775149,0.08970005863941845,0.780532840197186,1.0,2024-12-27
VXGSCLS,0.043342994654178964,0.06443268199006838,0.00160609623861827,0.004273599540566409,0.886344627576568,1.0,2024-12-27
VXGOGCLS,0.026002595230186228,0.057226597363261154,0.01544934981888189,0.047799168556291356,0.8535222890313793,1.0,2024-12-27
VXIBMCLS,0.08182007817111878,0.14728685420278434,0.03459957326612236,0.13140617180938616,0.6048873225505883,1.0,2024-12-27


