
key = model_output

vi2_forec

key = vi2_forec

,0,1,2,3,4,5,6,7,8,9,10,11,12,13,asof
VIXCLS,238.0849,210.05349504628137,207.79222206484985,204.62806849204298,202.594111155282,201.29839391937392,200.3740162481058,198.18108987848444,196.84632361700642,197.5872538736065,196.66727578039325,198.42504511579412,196.85112144252918,195.20473740899683,2024-12-27
VXDCLS,220.2256,190.93833090051217,189.17945907995488,187.27334521952668,184.64724993027554,183.3402143886455,183.48168624476224,181.58427963282634,180.15213731182246,181.04297338707136,179.78864718703014,180.16490853944956,179.53434987191775,177.8367033456163,2024-12-27
VXNCLS,325.08090000000004,282.0650415827122,279.9931883939225,274.74167274826726,271.8142066880868,272.32742154566483,266.8716983509977,263.7769340501518,262.45832950614016,261.5011501596214,259.2464033478492,263.94140872709204,262.1114748453883,258.5184456956786,2024-12-27
RVXCLS,492.39610000000005,411.62823231803986,410.1825328300286,407.80718526440046,400.7893656486323,397.80654807033727,395.12546485029515,393.85379666392924,389.3577931682272,389.5085576594505,386.94189470516534,386.40046533262347,384.7324454674952,380.89439579667874,2024-12-27
VXEEMCLS,289.68039999999996,273.0432735055452,269.02790575859996,263.77353728487935,260.2687076314366,257.12267068748974,252.92493764648455,249.1157885478479,247.15135588097303,245.4978845233523,244.66778915664216,243.9439446742067,243.0218634658728,242.0797765344001,2024-12-27
VXEWZCLS,1131.6496,917.6616823400459,917.2481536102891,916.7961852611243,917.347199509366,917.815303669287,916.581222794733,913.9986424123816,912.0534555082886,911.7403914713865,910.8633457328278,908.8332110853754,907.195166179717,905.2661919566985,2024-12-27
GVZCLS,225.90089999999998,196.95512203160888,195.29121667798861,194.61854000468958,193.42494866746964,192.35375687605506,190.02064441966158,188.31922519720544,187.66522692899156,186.17319488423811,184.94476198588873,184.14301518544085,183.46545152615676,182.56565037014767,2024-12-27
OVXCLS,910.8324,900.8219532371813,880.2233691655161,855.7749642330066,829.1084939995535,813.8836330855577,800.872361267056,785.66299396445,777.523999159022,770.0251583194635,762.1609216789224,758.0510017689157,754.7374186053951,751.5065394896059,2024-12-27
EVZCLS,99.40090000000001,89.14835294082187,90.52494986336677,90.49038770547773,91.66999517617451,91.94181012029733,91.54201335125435,92.71739392124896,94.12567666771811,94.25400272385696,95.11850434717977,96.21739249751786,96.79247869923792,96.98399615178647,2024-12-27
VXAZNCLS,817.96,773.2450964751878,773.2665011655747,762.8963006004058,758.4115614863307,747.139886861862,735.7471688353928,735.7014245196756,736.6633074121071,733.7944510012019,732.1352350678662,735.4472412093004,735.9223869975406,732.2456725368708,2024-12-27
VXAPLCLS,475.67609999999996,435.00232411115996,430.65424775949816,424.5750682477692,420.4167634654026,413.79959894125,409.3178623683369,408.5015740591849,406.85432566433155,405.6385259977244,406.56153861280166,409.5463536045583,407.85384885785413,405.972425018388,2024-12-27
VXGSCLS,763.9696,631.6422336517581,631.4559427016529,626.6129563035928,623.9918272436872,624.0970265748092,627.6304388746469,625.3485945906388,622.8758180271225,623.5684362512231,623.0320661410899,623.6145471404459,625.7342201712505,623.067200679605,2024-12-27
VXGOGCLS,828.2884,721.2235872472797,709.7915884553213,702.5212598924176,697.7270742387732,693.1551876131989,691.7799344086501,694.5363385493107,697.2343163180161,698.5311820088467,698.5491986992533,696.350908220958,693.4837844810438,691.9789650970824,2024-12-27
VXIBMCLS,568.8225000000001,546.695552939314,529.1881863633741,523.5635956552926,518.7443385336308,511.68335414387934,507.90881134151874,510.1910587759681,515.1501698442578,517.8272660206562,517.3100910382287,516.8291977304228,516.0967231983193,513.3970698336456,2024-12-27


