
key = model_output

dfm_loadings_collect

key = dfm_loadings_collect

key = 13

key = 0

,0,1,2,3,4
DIA,5.5052633429179355e-05,-0.0001627018903137313,5.7988991361674075e-05,5.273703273512354e-06,3.8981289266529585e-05
SPY,6.596550660830043e-05,-0.00018863864409732033,6.675110417868753e-05,6.255196217348538e-06,4.178728736492382e-05
VO,7.105877560514833e-05,-0.00020072304492846097,7.295788504224919e-05,8.539450162284842e-06,4.849678552576204e-05
IJH,8.613848645399926e-05,-0.000241752320535618,8.81201930598771e-05,1.1020218289674308e-05,5.9373372270525315e-05
QQQ,9.305477938047474e-05,-0.0002660489933107629,9.380962594192521e-05,9.201048765004537e-06,5.6613187740206764e-05
IWF,9.064958124520185e-05,-0.0002580958585408961,9.04546668759595e-05,8.387222081927192e-06,5.4343477926239204e-05
XLY,8.055808075472848e-05,-0.0002400016647259132,8.50083698810103e-05,8.989879929236054e-06,5.265960027109303e-05
XLP,3.5360016914507474e-05,-0.00010701289330285219,3.694130714595938e-05,3.692856924180911e-06,2.7345089885671646e-05
XLE,-3.553139401628222e-05,0.00011834261696586739,-4.091252775753874e-05,-1.642423300360724e-06,-2.4887466216716512e-05
XLF,2.897259998230039e-05,-8.429847847682604e-05,3.211141208530712e-05,2.9288318313245853e-06,2.3252524637288654e-05
XLV,6.050039561748688e-05,-0.000183207059220196,6.348769625254655e-05,4.092233050586005e-06,4.2943818940767303e-05
XLI,6.260934164400269e-05,-0.00017779164693741418,6.426736808222685e-05,7.1850837389538964e-06,4.378130816016361e-05
XLB,5.627902361165545e-05,-0.0001631412793187171,5.926687800464247e-05,7.5582275826652895e-06,4.304006681710854e-05
XLRE,8.288412574280255e-05,-0.00023757726154301188,8.60941122407356e-05,8.41933292221247e-06,5.6320544178767175e-05
XLK,0.00011498256149770822,-0.00032384660493205896,0.00011418108619961175,1.0762979640427406e-05,6.858536023775951e-05
VOX,5.690936104297131e-05,-0.000160453769327873,5.6999362630679283e-05,6.555853353095931e-06,3.624545734101785e-05
XLU,1.592117023935986e-05,-4.809278413183498e-05,1.6534425191431862e-05,-1.448032705722975e-07,1.1510463112771901e-05
GDX,0.00010013022972798612,-0.0002791740601820183,9.666993794130738e-05,1.058574181571124e-05,6.369861150799615e-05
GUNR,6.10742133177036e-06,-1.0590285382336113e-05,3.876574879193473e-06,2.5509867777034876e-06,4.147011967817166e-06
IXUS,5.889329304014183e-05,-0.00015976142221438055,5.7151847024121715e-05,7.653359081281957e-06,3.763486252745885e-05
IEFA,6.696660384571634e-05,-0.00018518359899728873,6.579567209598346e-05,7.803246297267384e-06,4.302082212715883e-05
EFA,6.656060948914351e-05,-0.00018449073053422395,6.556518416488171e-05,7.804179818919603e-06,4.2944837696771014e-05
VGK,5.714486480873535e-05,-0.0001540000657115591,5.564490260884897e-05,7.320085452689479e-06,3.606969283094652e-05
VWO,4.0148607511623766e-05,-9.68767119100317e-05,3.591546113753247e-05,7.2256211808604034e-06,2.3861895654006257e-05
IEMG,4.6344167965987665e-05,-0.000117350433888382,4.25264346304887e-05,7.902109558505134e-06,2.8353534501357987e-05
SHV,1.0163285886913306e-06,-2.824601187858613e-06,1.0028798001911558e-06,1.220663641571362e-07,6.006518344192448e-07
BIL,3.5908924846356106e-07,-1.0814803373894309e-06,3.765132703542596e-07,5.432909281544263e-08,2.7296525985953785e-07
GBIL,2.9723685873252016e-06,-9.801122743095794e-06,3.4378103690394753e-06,3.126822638606312e-07,2.1671814346307926e-06
SHY,1.2191986932141252e-05,-3.4236881798615675e-05,1.1939722652805569e-05,1.1306032094637551e-06,7.119973753882477e-06
IEI,2.8900672466293117e-05,-8.210739262776581e-05,2.873902171584029e-05,2.815867831645421e-06,1.7562107448800158e-05
IEF,4.397374167865385e-05,-0.00012675625372644643,4.4260123334832974e-05,4.350701748214099e-06,2.7502642272147005e-05
VGIT,3.190898369584305e-05,-9.108726797938199e-05,3.1844867684264345e-05,3.128705039112427e-06,1.9589935920414467e-05
TLT,8.285269472831231e-05,-0.0002450622927031677,8.552394188587409e-05,8.457566381752485e-06,5.3992317875844584e-05
GOVT,3.562570120239294e-05,-0.00010303462587297327,3.59824733745967e-05,3.5734670640316677e-06,2.228827110716684e-05
MUB,2.2571479914537917e-05,-6.576368915321914e-05,2.2726802064332697e-05,2.262593497094526e-06,1.4732910966547153e-05
SHM,8.572848504426665e-06,-2.561730391394133e-05,8.990352962822395e-06,8.704927638152934e-07,5.767665082773876e-06
VCSH,1.9330859247820095e-05,-5.439386161995989e-05,1.902752250087124e-05,1.9098269625701884e-06,1.1701923696968884e-05
VCIT,4.2017272895629916e-05,-0.00011960680874705012,4.180853273103539e-05,4.390156419477633e-06,2.6160123296370896e-05
VCLT,7.655890115214991e-05,-0.00022328316445208667,7.769393697527653e-05,7.567354249102357e-06,4.932755171881158e-05
LQD,5.463648540774356e-05,-0.00015741093962011967,5.485471483119559e-05,5.5063810737580155e-06,3.459349514399334e-05
HYG,3.26250248185832e-05,-8.890000601624866e-05,3.1402867936691487e-05,3.582906531327318e-06,2.0101321632866766e-05
SHYG,2.4440064158068896e-05,-6.628473538311863e-05,2.3392126420213167e-05,2.6096205000019632e-06,1.5157118335648119e-05
MBB,4.4059676745828755e-05,-0.0001259639071845271,4.390508152971339e-05,4.549437419414159e-06,2.698587780147967e-05
VMBS,4.288487757376745e-05,-0.00012191122574572839,4.249518439315924e-05,4.578686815066319e-06,2.6126731218968988e-05
AGG,3.861187285001077e-05,-0.00011103988926664744,3.88032213294869e-05,3.885960762332663e-06,2.4087436904609816e-05
BSV,1.7772094401687197e-05,-5.0221636098955646e-05,1.7538731998700936e-05,1.6890054784522428e-06,1.055849301567721e-05
