
key = model_output

forecast

key = dfs_forecast

,1,2,3,4,5,6,7,8,9,10,11,12,13,asof
0,1.6222753466184545,-0.5377822064088766,1.2086475398134766,-2.5988175538078933,2.9690151702994054,-3.120141510588623,2.876754913469784,-1.6202961385425083,0.043324892873887355,0.05150595902977856,-0.2658929860693524,0.36441227911613716,1.022380663870622,2024-12-27
1,6.448711022861641,2.3361526554022207,-7.743059530389128,4.5542472900385285,3.4256172151695505,-5.5911109641739625,-0.7292117268984606,2.443143490701856,4.307480751944027,-6.318343473716222,-1.5583138564780887,6.895579835455741,-3.593806277523956,2024-12-27
2,5.7470328380114895,-5.4347725725083755,-0.5234454122848557,5.9938317002311825,-5.197723454693958,-3.4550603461875475,6.910190790425307,0.6561675423088376,-6.712153632830857,-2.1331108822621863,6.5181228316122155,0.18409070059416077,-4.739086390939445,2024-12-27
3,0.19362338651335098,1.682293415056422,1.1963587634906105,0.13249294630170838,3.005524769722171,-1.692244604483896,-0.9679343924904933,6.507191725007025,-1.4894779465026615,-3.308741696473432,-0.3360911970567326,-0.3154502586418162,0.22321343742095712,2024-12-27
4,2.748579713185326,0.9089726635597982,0.4384778049965919,-2.2684846669474874,1.7727445083950408,0.5610409261116552,-4.124057429483076,0.4415916006169117,-1.3529818637232396,-2.80512495220886,1.2753971100083,0.7965575311474563,0.006510890170810919,2024-12-27

key = vts_forecast

,1,2,3,4,5,6,7,8,9,10,11,12,13,asof
DIA,-0.09102086160195924,-0.3378220419847733,0.048809343344021594,-0.10882192327093651,-0.3669016010442029,-0.16636389478749752,-0.04257020830622937,-0.1964731255444654,-0.6101418223287798,-0.4002701436857144,-0.11933177539069673,-0.4337510477008327,-0.36886105929816565,2024-12-27
SPY,-0.143946714657756,-0.4157245423154236,0.0006250995982060026,-0.16099116492666432,-0.42037120820187857,-0.2516657963207276,-0.019849189535672773,-0.19985385044153875,-0.5985627973222607,-0.32121309535137904,-0.066431564856268,-0.411369250093923,-0.32178331954760303,2024-12-27
VO,0.03232118485329401,-0.2500674580173045,0.1306446931572351,0.033382961503061886,-0.18660633381996514,-0.11862779142197524,0.1049692818204179,0.05154495886667278,-0.4482193060455821,-0.34488159793036915,0.0003230858422350047,-0.2814157296383448,-0.27325311903151545,2024-12-27
IJH,0.05059326201980131,-0.201444935511007,0.15932851548297222,0.059396482642977824,-0.117234557208089,-0.06965139127222911,0.12313103136487824,0.10733269797610465,-0.37148559691656224,-0.30784722849628066,0.018172624868593834,-0.23840045110381852,-0.2310925042722012,2024-12-27
QQQ,-0.17419020616472325,-0.4357217156563333,-0.027632211436246557,-0.16049762378054175,-0.41789874982495523,-0.26022006718945756,-0.006307505392352586,-0.14684960310665074,-0.5283009128726888,-0.24612590394351574,-0.014791108075034698,-0.363263241909102,-0.27356678076850616,2024-12-27
IWF,-0.20429855312926595,-0.46124474583358466,-0.040143759580522465,-0.20836466640261186,-0.4599401218173601,-0.28297001050150894,-0.034149097757031927,-0.21710016473197774,-0.5738733862887376,-0.25469738132064135,-0.044234112979507856,-0.4035219326336183,-0.28875602345932544,2024-12-27
XLY,-0.17079913119127532,-0.4147937774647139,-0.01556513821245259,-0.09873390632767087,-0.3778103069781361,-0.19372136662381476,0.001247628043817256,-0.04152090363192911,-0.46034471983643993,-0.2324784255026922,0.02099092423126797,-0.3308963626583275,-0.2681703135566114,2024-12-27
XLP,-0.21412834223272498,-0.26933099347103695,0.1197316215176405,-0.21739367768392276,-0.28716959930659625,0.0141129272772762,-0.1440570139685899,-0.2540124199677714,-0.48745437488588095,-0.29038237462947264,-0.1885400106306631,-0.48403070698701794,-0.29329258896064314,2024-12-27
XLE,0.13871744259876964,0.2683311223182542,0.08940174358491135,0.12300474828653873,0.33316966128501824,0.16450600243564165,0.09533723946331148,0.2020003679636279,0.3715846187316132,0.187600840348837,0.07375852082258531,0.260428496320864,0.2246356588599316,2024-12-27
XLF,0.15965712022153006,-0.018005460710735194,0.07615196466388796,0.11623439644681574,-0.0411748374623597,-0.052394007157774675,0.06489460321853088,0.007283702796469914,-0.266975094170098,-0.2952112712598983,-0.05169881587734748,-0.11156337311745619,-0.19800796962865602,2024-12-27
XLV,-0.243640285873566,-0.4451156864404394,-0.016365104998461333,-0.30227513655142296,-0.5598750293737789,-0.22249845576797006,-0.19818390905198088,-0.48967379582883375,-0.7971707824439467,-0.44653526021983153,-0.2567071087004803,-0.621275930385127,-0.45723527652924323,2024-12-27
XLI,0.00855533358403228,-0.19838342342742438,0.11626313676041061,-0.008274286656946656,-0.16751411390721135,-0.08082647775580036,0.04849843155275156,-0.02536706207251825,-0.4033577629511564,-0.30620059232818286,-0.047350136659325526,-0.2762341188842715,-0.24513636447636755,2024-12-27
XLB,0.0268883112004744,-0.11303379094816808,0.16982023292919357,0.04171076950772912,-0.057165600152835186,0.03613169842875835,0.05378499167441716,0.06764092357451658,-0.283604448435996,-0.26579976583720555,-0.034554957003963604,-0.22831005107160462,-0.19937139271062668,2024-12-27
XLRE,0.014557348489622896,-0.2984387839340257,0.06149975641947253,-0.014715604062002632,-0.2997861751227663,-0.20131298294500197,0.05001136309086854,-0.08954715818884015,-0.5698018643188538,-0.4084030666159796,-0.057425457596360974,-0.34157511407502,-0.3429712614865434,2024-12-27
XLK,-0.15451962523190949,-0.4119913084383561,-0.027186217000444324,-0.1691321784857269,-0.40647128469405247,-0.2707045504377659,-0.007759551113867724,-0.18284815440962823,-0.5326186294819896,-0.25027569239319486,-0.0337056206686947,-0.3569183062027996,-0.2670700000553987,2024-12-27
VOX,-0.10022198238529136,-0.2898111974291528,0.05496220316929695,-0.08465935478598124,-0.23779482568482022,-0.13079828428234147,0.03182585873637961,-0.03364711140949743,-0.3656332944349875,-0.19566734990861773,0.0009463757650539917,-0.2698356088991126,-0.1931030030323975,2024-12-27
XLU,-0.04167463949701464,-0.09811329595764376,-0.023552659984168264,-0.1019727342949752,-0.1741638891031863,-0.08929015598677473,-0.0824601962349353,-0.23040144271934596,-0.2705451092491174,-0.16453683356965493,-0.12425817546562654,-0.18880918880300804,-0.152396702647721,2024-12-27
GDX,-0.14434114350847688,-0.22230966958269596,0.05743987478254972,-0.1604844827469064,-0.2013232320385947,-0.06947090911049811,-0.04121681068407143,-0.14125469974546695,-0.30334458390679464,-0.133107430887853,-0.06653881107681207,-0.2757557554214192,-0.1436305681734296,2024-12-27
GUNR,0.015663047327766175,0.077020334676322,0.11252512059323691,0.03880330910696457,0.16411222887645982,0.1256487134179696,0.06385799968983556,0.1593663399854373,0.16050619686597684,0.08888260734348706,0.056211697682405935,0.06356412435228942,0.10136484106675442,2024-12-27
IXUS,-0.044572683994435015,-0.20961565258318196,0.15029080767852912,-0.042756306982436626,-0.10534514738327748,-0.05286110075506255,0.09077910829980636,0.06032206899684718,-0.28021170770311044,-0.17116923527435154,0.022164428174331674,-0.2256626156408419,-0.13542436120338214,2024-12-27
IEFA,-0.09304369836892457,-0.28825617309516527,0.11430539507122495,-0.1045615224880087,-0.22210368943604514,-0.11223967252993315,0.04090974104627772,-0.05356605562170666,-0.4150191809838786,-0.2365331507694933,-0.02715506620456229,-0.3217904283757008,-0.2115201963959512,2024-12-27
EFA,-0.09236583271109236,-0.28479117561874706,0.11388696059122344,-0.1001693578409335,-0.21827087366101827,-0.10726161748893473,0.04062140750449891,-0.047207052316827966,-0.40783127692510074,-0.2339608526709994,-0.025044953596643937,-0.31754725208298185,-0.20976675294090558,2024-12-27
VGK,0.008395452013566323,-0.1738333216925548,0.1232099182068466,0.0022746207505961596,-0.08426112969358161,-0.07554149191270892,0.11006977610633084,0.07811052833608265,-0.2522939900807122,-0.17168153969100752,0.03614968916706271,-0.16759302870203255,-0.1254506064654212,2024-12-27
VWO,0.09739635547445573,0.02920712851270052,0.19295409343654638,0.10788157318060547,0.19180610841704238,0.0720046438976554,0.19487394495985896,0.29059336264299546,0.08956059763861646,0.01765227294434682,0.12770706597466183,0.060773239028732925,0.07806586744922078,2024-12-27
IEMG,0.023494942426724532,-0.03887916157400749,0.18712361607500289,0.05054445847949432,0.1221479172620778,0.0677329579360049,0.15639190518041254,0.24589433101141206,0.030082466584923112,0.007978869250464891,0.10933981337579726,-0.014295061114693766,0.04551920744122573,2024-12-27
SHV,-0.17236573177511005,-0.4802580020446446,0.03568423322870834,-0.11523960088330898,-0.3612551279109608,-0.25025582454167605,0.09806902408855084,0.03963064987331566,-0.46436378213978846,-0.1920992555825265,0.09639713689629509,-0.3215839804303364,-0.21965358650174294,2024-12-27
BIL,-0.15903516984826735,-0.18339316639010025,0.12533777533642146,-0.08189527578052316,-0.10535977195724483,0.0801779757434648,-0.02546649250962256,0.04271602472958272,-0.17906389377751789,-0.09652167037686715,-0.01303230384826462,-0.24628705341710158,-0.11786728450948106,2024-12-27
GBIL,-0.18153279264959346,-0.3462643911138229,-0.05733722805850866,-0.08801485948753568,-0.35111824145050674,-0.1344486323390277,-0.060003462861269924,-0.06488561711225194,-0.3737283788724655,-0.19033968243413996,-0.005099425748615327,-0.2874886776825306,-0.24553068354639032,2024-12-27
SHY,-0.27260009320229595,-0.5640581416458937,-0.04142978662136687,-0.28862374657168,-0.5535903292439257,-0.34226313914387896,-0.04614777423716093,-0.28418886359103424,-0.6822772554418265,-0.2764773186743399,-0.05688809574225784,-0.49479521257918646,-0.32467249266050124,2024-12-27
IEI,-0.2534032922098963,-0.5388530035669442,-0.015359491804469716,-0.2528142262834064,-0.5208343032747238,-0.29924622723612365,-0.03965988907876156,-0.23952164656800498,-0.6651753035409333,-0.29436053263068995,-0.054215787321966025,-0.49071151532661134,-0.3332997850575915,2024-12-27
IEF,-0.2712883269271065,-0.5321592045003143,-0.007957007280422479,-0.254940979073656,-0.5167732842954429,-0.2638915172321807,-0.060463321903300477,-0.23700548328079643,-0.6548245917864259,-0.2939382560558041,-0.06482459655495634,-0.5045665909168857,-0.3391081833125966,2024-12-27
VGIT,-0.26038655700697716,-0.5336693423495315,-0.01127488082418493,-0.25451415448154735,-0.5162701155268468,-0.28345015409222507,-0.04795267723517466,-0.2388558423607381,-0.6577838130633731,-0.2916954176786109,-0.05881473047489613,-0.49476033520100937,-0.33296202536861186,2024-12-27
TLT,-0.27651943283337954,-0.5148412452311016,-0.009051589205776756,-0.22922402080258567,-0.5006471536562453,-0.22154248588779563,-0.07354926337035494,-0.20060118018249495,-0.6185701631659806,-0.2870798689696428,-0.05887102157046556,-0.4925149728613998,-0.33999559059626994,2024-12-27
GOVT,-0.28345456353408066,-0.5532900533083908,-0.012636533887004475,-0.2559202491487073,-0.5324125236812708,-0.27058357007884976,-0.05855046210750506,-0.22597589489786077,-0.6628687986410638,-0.29370462706900935,-0.054757695913837195,-0.5114845483974579,-0.3449584548788027,2024-12-27
MUB,-0.3418417719978111,-0.535999130683321,0.033221783444209674,-0.3251923749637285,-0.5262395722565439,-0.19332659112690986,-0.12388581933122333,-0.3051859624289236,-0.680241258425444,-0.29965365123954163,-0.1255247051156987,-0.591510118247244,-0.3555670069188219,2024-12-27
SHM,-0.1874447509318746,-0.3842111722401671,-0.0006159582105420558,-0.1518712809366168,-0.38172328985375714,-0.16507305351202178,-0.05411352613829441,-0.14907073601059867,-0.49599558284745626,-0.25698725101191244,-0.0542471511687391,-0.38408917908584617,-0.2856395633387779,2024-12-27
