
key = training_type

ContinuousTraining

key = model_output

loadings

key = dfm_loadings

key = 0

,0,1,2,3,4
DIA,0.00039338078777320494,6.838438346135353e-05,-0.00015990711353995685,9.470418210731087e-05,-0.0002109005619148341
SPY,0.0004022727789129146,7.241255724266469e-05,-0.00016500293687427237,9.274596528578652e-05,-0.00021612954685392054
VO,0.0004468509811225335,7.741799084036682e-05,-0.00018056454779747248,0.00010409339797441259,-0.00024968412875129805
IJH,0.0005717359863203814,9.84287477937164e-05,-0.00023125981542629402,0.00013541811722764762,-0.0003189652448190384
QQQ,0.0004314064790754519,7.962605883861405e-05,-0.00017921149256999128,9.409872296146749e-05,-0.00023997807375117602
IWF,0.00042270486902739414,7.875341167898423e-05,-0.0001752436637342349,9.323978977361548e-05,-0.00023302571546746258
XLY,0.0005575139656216903,0.00010172720240936308,-0.0002271419144422333,0.0001339608360826865,-0.00030985633074457887
XLP,0.00016830292518472143,2.8860711486834995e-05,-6.873645645705614e-05,4.205528354695595e-05,-9.58795377120552e-05
XLE,0.0008318775333956346,0.00014158916411277222,-0.0003426263891530163,0.0002116026772638791,-0.00044886355822993957
XLF,0.0005338782517740905,9.382775502801385e-05,-0.00021114276588413323,0.0001304868697538738,-0.00026859874604349065
XLV,0.00014627659079255407,2.02383601310368e-05,-5.583477045351159e-05,1.966722220705685e-05,-7.748304228005645e-05
XLI,0.0004382483219262845,7.882826234267568e-05,-0.00017892272838676676,0.00010722398972026313,-0.00022969451311283002
XLB,0.0005015780548975175,8.06142486243514e-05,-0.0001972490502285086,0.00011248809405355559,-0.00025925423756430714
XLRE,9.64175570324693e-05,1.2346114004740893e-05,-4.4934640445704635e-05,3.508705070965548e-05,-9.459888503255652e-05
XLK,0.0004404309841555888,8.202486658411931e-05,-0.00018522048746882962,9.767451133945236e-05,-0.000242083465463317
VOX,0.00046213863164756245,8.40007552667678e-05,-0.00019255805028879823,0.00010192242027976435,-0.00024395192389485093
XLU,0.00010191272586649176,1.5695208253670434e-05,-3.57160092274214e-05,3.3987374758565216e-05,-6.0869945981304896e-05
GDX,0.0004900966809188321,6.421416374354504e-05,-0.00019388172528877977,9.141332392905803e-05,-0.0002584810164559369
GUNR,0.0006286011833851273,0.00010135610567674873,-0.00024808511928664105,0.00013998028408339445,-0.0003190041921242109
IXUS,0.0004317848390954916,7.430349244932815e-05,-0.00017070948837905772,8.883442991005639e-05,-0.00022969709168309686
IEFA,0.00041880888361638,7.159282666639364e-05,-0.00016606369348268245,8.603542388559088e-05,-0.00022549457410251734
EFA,0.0004064353744504062,6.937195210645043e-05,-0.00016055325417191333,8.339839714332143e-05,-0.00021867474522534498
VGK,0.0004613805671137281,7.869863121724283e-05,-0.00018585347299461172,9.711634123728475e-05,-0.00025110110146426716
VWO,0.00040564912948663317,7.405601741097193e-05,-0.00015857146085669814,8.214256314702978e-05,-0.00021026508537168724
IEMG,0.00043675251762946874,7.784232333837785e-05,-0.0001711006853575705,8.723204921320745e-05,-0.00022549291900725066
SHV,-2.1759444270925062e-07,-2.2730945772651096e-08,1.1136784665681678e-07,-7.992303244358446e-08,2.3030977458140482e-07
BIL,-1.1563706650987488e-06,-2.048069876248758e-07,4.643730815325263e-07,-2.30654666512349e-07,5.884547369240771e-07
GBIL,1.8199064075788797e-07,7.483222736748497e-08,1.0493902419244194e-09,1.0085488662005806e-07,-1.0561605525892716e-07
SHY,1.552836747322305e-07,-1.7483321413401808e-07,2.2867443011296483e-09,2.1429640801345763e-07,-4.020643114737345e-07
IEI,-1.230839293794255e-05,-3.0699289682957992e-06,5.074481416493457e-06,-2.2439189710265394e-06,4.880302997556438e-06
IEF,-5.10445523968797e-05,-1.0591635072558746e-05,1.9689295934176575e-05,-1.095515994878512e-05,2.0898003354125983e-05
VGIT,-2.0792304600886167e-05,-4.7327644955290715e-06,8.314747196806527e-06,-4.14113098549186e-06,8.463445161234511e-06
TLT,-0.00024174652604871843,-4.424605807415582e-05,9.052796884921313e-05,-5.707314871179554e-05,0.0001077631701562846
GOVT,-4.9258065891561096e-05,-9.150999207126222e-06,1.869439464445564e-05,-1.2142912162578628e-05,2.0475661914322042e-05
MUB,3.303197445391554e-08,-1.4248969345572261e-06,1.0375960835346782e-07,-1.4030194292086959e-07,-6.26801501384162e-07
SHM,9.814137878906918e-06,1.4372175588849262e-06,-4.366118593798043e-06,2.1200669422130927e-06,-4.984289913789499e-06
VCSH,5.858846598946666e-06,7.974919019883806e-07,-2.329468385872419e-06,1.5606073871273554e-06,-4.681738228225748e-06
VCIT,-8.014492861825369e-06,-2.8060062552259454e-06,2.099933288853778e-06,-1.4108315100992378e-06,-2.572753648395802e-06
VCLT,-0.00010317236900444426,-1.9056403481081765e-05,3.500302656907989e-05,-2.2957536793597518e-05,3.1302896878318886e-05
LQD,-4.731180190828218e-05,-9.32139198788952e-06,1.566134829013987e-05,-1.0215702010447816e-05,1.1759331320411362e-05
HYG,7.777680227193642e-05,1.416006591588812e-05,-3.2882238845604164e-05,1.848803857166537e-05,-4.5044421598178316e-05
SHYG,6.498926826842188e-05,1.2239265575841779e-05,-2.7240187955385024e-05,1.526883312985539e-05,-3.7032897651887724e-05
MBB,5.084307476943254e-07,-3.8428955620384005e-07,-5.540024610301672e-07,4.652084580348719e-07,-6.421827423063259e-07
VMBS,2.9998435336916794e-06,-8.288874315591661e-08,-2.0092120084415605e-06,7.010474779598285e-07,-2.253929783756161e-06
AGG,-3.442761076208863e-05,-6.846906576403642e-06,1.241932455770013e-05,-7.430362686065816e-06,1.2426188564531612e-05
BSV,-1.3846722949031842e-06,-7.152623842270475e-07,6.128560633764264e-07,-3.180607576778349e-08,-9.151285746949495e-08
BIV,-2.25853858307223e-05,-5.320283863462618e-06,8.277713186349265e-06,-4.828528983602692e-06,6.881237829005706e-06
BLV,-0.0001459560412840795,-2.7106038453460696e-05,5.2700156226462045e-05,-3.327621096663066e-05,5.6278162896025864e-05
BNDX,-8.263075982148438e-06,-2.266021648887202e-06,2.7334696238477476e-06,-1.5071020530275486e-06,3.0920436864459883e-06
EMB,3.4599409837991884e-05,4.956330034806266e-06,-1.593632412220223e-05,8.001909955994276e-06,-2.5427264450495064e-05
GLD,9.397490304298377e-05,1.1257203897642339e-05,-3.999798999846975e-05,1.8938777451655236e-05,-5.585562757205185e-05
SLV,0.00015811737053144406,9.307452040792303e-06,-6.768377458707014e-05,3.485797807486071e-05,-9.822370490275685e-05
USO,0.0007029035396163261,0.00010780227498099712,-0.0003009726025543247,0.00016918258040041732,-0.00041373326295618146
PDBC,0.00042895980888500485,6.42058849570286e-05,-0.00018054905840665967,0.00010551102493153142,-0.00024048524609399146
VNQ,0.00016417070785518264,2.4824886978509474e-05,-7.280703128489843e-05,5.1621395361706406e-05,-0.00013085526538869331
VNQI,0.00020186094529023673,3.1368401054479627e-05,-8.383284794268924e-05,4.40160717595304e-05,-0.00011938270899808331

key = 1

,0,1,2,3,4
DIA,-0.0002481728956381166,-4.13997297281859e-05,8.821325826971252e-05,-5.0484585201411465e-05,0.00013055361378303728
SPY,-0.00026803099937728616,-4.5174427313122276e-05,9.839788043945053e-05,-5.357427939180783e-05,0.000134240801006316
VO,-0.00022771850046726468,-4.0292112323523495e-05,8.205255638334594e-05,-4.588182593229463e-05,0.0001169295028809258
IJH,-0.0002990182478776025,-5.191922321388781e-05,0.00010695710338955561,-6.090846273948789e-05,0.00015669955257803332
QQQ,-0.0002766081900120432,-4.702401377332875e-05,0.00010566219335392649,-5.4386138443123546e-05,0.00013075215427875607
IWF,-0.00028504247429190414,-4.868969824522291e-05,0.00010881079502987261,-5.652000410845587e-05,0.00013648667548014736
XLY,-0.0003669538117847564,-6.37029643187552e-05,0.0001370449676623463,-7.665928807381209e-05,0.0001924829805615101
XLP,-9.663280243706096e-05,-1.584195095896769e-05,3.478607512390056e-05,-2.0648255057603452e-05,5.369508197690634e-05
XLE,-0.0005767201798852187,-8.908090427786279e-05,0.0002029545043039321,-0.00012106045774176097,0.00031849668408897544
XLF,-0.00035552510502153783,-6.332166922783947e-05,0.00012328443262834353,-7.182058973759032e-05,0.00018894313141818323
XLV,4.903523955432226e-05,4.38538975980433e-06,-2.3013723094397708e-05,1.7075154051000087e-05,-4.399927631911336e-05
XLI,-0.0003280282971597997,-5.43998204110019e-05,0.00011861509257543307,-6.750842465463552e-05,0.00017305401699546448
XLB,-0.00019492823142590006,-3.647721187810541e-05,5.99534091914069e-05,-3.424525143236663e-05,9.444243968376462e-05
XLRE,-3.3754489830152765e-06,5.175682054930779e-06,3.90992780662882e-06,-7.895710620288641e-06,2.3092032744236506e-05
XLK,-0.0003221542034277763,-5.237116451132723e-05,0.00012280337518705687,-6.408462622313013e-05,0.00015516749848219568
VOX,-0.00033052505193907237,-5.3749172024057566e-05,0.00012220568141230943,-6.414257371889887e-05,0.00015799734417212133
XLU,-2.5519325689804387e-05,-7.432186708801077e-06,6.113261362269148e-06,-8.953316195068291e-06,2.961461618211598e-05
GDX,2.4595773725053615e-05,3.7220492005289935e-06,-3.071709186850686e-05,2.0238788504034396e-05,-4.08567494084677e-05
GUNR,-0.00026603491269435863,-4.83755444116225e-05,8.259045497562367e-05,-4.649199381363901e-05,0.00012724325104369316
IXUS,-0.00016479244296005842,-3.408651889602827e-05,5.70394345764049e-05,-2.757177675738332e-05,6.794737688553484e-05
IEFA,-0.00015156074608236217,-3.12789617089617e-05,5.242025828966842e-05,-2.5132679860869766e-05,6.17309384188422e-05
EFA,-0.00014130301990478134,-2.9900482714718005e-05,4.854260897210111e-05,-2.31508211259935e-05,5.695664234722702e-05
VGK,-0.00019188520211279667,-3.5695300375701535e-05,6.743783713931699e-05,-3.378474111528092e-05,8.369125097736133e-05
VWO,-0.0001869604065816008,-4.0609489756389744e-05,6.811420768079347e-05,-3.247801458509743e-05,7.74800863054464e-05
IEMG,-0.00018472814770597505,-3.99661296108314e-05,6.554849186533423e-05,-3.061016533277474e-05,7.342852535015482e-05
SHV,-1.842254493865885e-10,-2.2992856614048296e-08,-5.7451822258385826e-09,1.6636668529365733e-08,-4.953442901824654e-08
BIL,5.912430850449125e-07,1.1133049798121498e-07,-2.1010116123254534e-07,1.0041722869992324e-07,-2.430980120694797e-07
GBIL,-1.2235248694636686e-07,-9.749737178226323e-08,6.734746092108618e-08,-5.8689883584564427e-08,1.5425873549976222e-07
SHY,2.2896343167018693e-06,4.131837569198467e-07,-9.952156867816248e-07,4.1638269372031926e-07,-8.358530136060502e-07
IEI,1.802748554621228e-05,3.3238851730624085e-06,-7.146339700413732e-06,3.45775507250333e-06,-7.958735519833645e-06
IEF,5.0579286406518474e-05,9.842841286927671e-06,-1.856624784701469e-05,9.625348222441705e-06,-2.3741578183765695e-05
VGIT,2.535618678480389e-05,4.763504795782368e-06,-9.755119678240847e-06,4.8547192105486684e-06,-1.1497741324998978e-05
TLT,0.0001646362351706194,3.389043883530671e-05,-5.570878530465227e-05,3.1761854988487116e-05,-8.404354982994215e-05
GOVT,4.308204992523008e-05,8.116510862751119e-06,-1.4698528340013563e-05,8.498725167431343e-06,-2.2503431449822393e-05
MUB,1.5823998510919297e-05,3.0610510994993217e-06,-7.004441693116743e-06,3.5535219675218995e-06,-7.945960395577143e-06
SHM,-6.540988807027537e-06,-6.553167720911465e-07,2.1159578874744875e-06,-1.1438198837083844e-06,3.0327844174658314e-06
