
key = model_output

vcf_matrix

key = vts_vcm_comm

key = 0

,DIA,SPY,VO,IJH,QQQ,IWF,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,VOX,XLU,GDX,GUNR,IXUS,IEFA,EFA,VGK,VWO,IEMG,SHV,BIL,GBIL,SHY,IEI,IEF,VGIT,TLT,GOVT,MUB,SHM,VCSH,VCIT,VCLT,LQD,HYG,SHYG,MBB,VMBS,AGG,BSV,BIV,BLV,BNDX,EMB,GLD,SLV,USO,PDBC,VNQ,VNQI
DIA,4.882500989921777e-05,5.1810682566407475e-05,5.773336209025616e-05,6.931612396825355e-05,6.997996441276666e-05,6.740938365173953e-05,6.541486206641499e-05,3.2407912337645925e-05,-3.6166114953423454e-05,2.9875878497844197e-05,5.555291431984806e-05,5.2205310260340815e-05,4.992322322890558e-05,7.021288864902986e-05,8.481408296237527e-05,4.272003745359032e-05,1.65524236443506e-05,7.311322755381538e-05,3.585376647921641e-07,4.1724762500977894e-05,4.9499986698406446e-05,4.943089626526909e-05,4.058426866478933e-05,2.177716418665763e-05,2.709990259355586e-05,7.013580353612026e-07,3.004751008814533e-07,2.8706085334765077e-06,8.7076341301899e-06,2.1434991437112985e-05,3.360248775724926e-05,2.3894394264265257e-05,6.652390341199917e-05,2.7252195090813793e-05,1.7692852813317993e-05,7.186741583097914e-06,1.4093266307077016e-05,3.127087785797177e-05,6.0187339633180776e-05,4.181049786671777e-05,2.309971761216516e-05,1.739305072779729e-05,3.249265494958253e-05,3.1087516424887793e-05,2.9305678964339105e-05,1.2907039681010627e-05,3.0229399244601024e-05,6.060717211230417e-05,1.437801514254627e-05,3.8868549738715136e-05,2.7588486598621684e-05,2.028706691224459e-05,-7.38067286312987e-05,-3.0060778691658372e-05,7.030621310501747e-05,5.005440712440573e-05
SPY,5.1810682566407475e-05,6.21692899381216e-05,6.44502849705257e-05,7.675049861973473e-05,8.74619868784804e-05,8.564473458083816e-05,7.488239490811717e-05,3.107829661502334e-05,-3.751408647689843e-05,2.8161300147089813e-05,5.8557534073461e-05,5.676649775721149e-05,4.886610363089746e-05,7.830798296401451e-05,0.00010869910605698593,5.14153178269658e-05,1.7300084414040293e-05,8.883543108199212e-05,1.2208120735904352e-06,5.098589440728829e-05,5.9575837773222795e-05,5.916476685629181e-05,5.026398780677086e-05,3.112615345451363e-05,3.641037227803064e-05,9.181119918311522e-07,2.905862346068679e-07,2.8525096062149737e-06,1.143652352832222e-05,2.6930480375840632e-05,4.079533203351792e-05,2.9665254722191993e-05,7.671371598871163e-05,3.3030921468015e-05,2.0530298651520796e-05,7.98998809794882e-06,1.787079536927593e-05,3.8394557049008604e-05,7.065337440192201e-05,5.020791197105552e-05,2.9245378594768934e-05,2.19155658952548e-05,4.0475865829922205e-05,3.906928584914191e-05,3.571390885595515e-05,1.6622271873610072e-05,3.709537808793571e-05,7.08344459128533e-05,1.7022448408393205e-05,5.0115202938144056e-05,3.155176729441503e-05,2.7138942501426405e-05,-6.198219587298388e-05,-2.022977833216008e-05,7.838620240302234e-05,6.290829071727488e-05
VO,5.773336209025616e-05,6.44502849705257e-05,7.815809675922754e-05,9.594311050531048e-05,8.845599855487471e-05,8.377983152902673e-05,8.030091134513627e-05,3.476674822137299e-05,-3.283574540347763e-05,3.8748637996347785e-05,5.7397448137598535e-05,6.831100100384095e-05,6.499054491162903e-05,9.01085505294604e-05,0.00010831056010334683,5.662311934350414e-05,1.466429334831863e-05,9.152602533674529e-05,6.912715329803974e-06,6.004274695000377e-05,6.68649169230972e-05,6.663834342001207e-05,5.9758736492651505e-05,4.3986232684503415e-05,4.840508570503271e-05,9.817583694380682e-07,3.6266497442445455e-07,2.9980547778495756e-06,1.0977152361336875e-05,2.680678315158253e-05,4.0931664510770904e-05,2.9602184858548013e-05,7.832315006726103e-05,3.318808865325501e-05,2.062591271563884e-05,8.383437656215116e-06,1.78599262557239e-05,3.920799956699039e-05,7.119366344926415e-05,5.073838724942628e-05,3.139888117264524e-05,2.3487295459911522e-05,4.0448472783850755e-05,3.9326689911140745e-05,3.600614292855057e-05,1.619733354724615e-05,3.742519590653667e-05,7.212846921146082e-05,1.8397326376272566e-05,5.125784929575986e-05,3.5999235543483154e-05,2.4054502137144606e-05,-7.402979395550226e-05,-2.6624229746685074e-05,8.994073988691676e-05,6.772240503898476e-05
IJH,6.931612396825355e-05,7.675049861973473e-05,9.594311050531048e-05,0.00011874957807469618,0.00010498902477747226,9.888211877119005e-05,9.601347980520475e-05,4.27187389637063e-05,-3.5953463868530866e-05,4.727341058781096e-05,6.709233387144393e-05,8.383459971053631e-05,8.136801691985806e-05,0.00010863284454650493,0.00012824138176894019,6.890198807326302e-05,1.60864371673884e-05,0.00011167341221749735,1.121944776770531e-05,7.475586435471379e-05,8.210688708555862e-05,8.186277946174452e-05,7.41061731863788e-05,5.74573676494742e-05,6.272025242518181e-05,1.1906888140040575e-06,4.5981464383851497e-07,3.5071353160370302e-06,1.2976339441862846e-05,3.18950185702133e-05,4.8780041687194126e-05,3.525103517762458e-05,9.340830683091903e-05,3.9548352218676244e-05,2.476373328145927e-05,1.0006083498694855e-05,2.1338944396535442e-05,4.7120090318969876e-05,8.49894021002053e-05,6.0735960511029797e-05,3.83377192093875e-05,2.8691505974621322e-05,4.8364435031165035e-05,4.72227088821629e-05,4.298309850190936e-05,1.919714970274946e-05,4.47145714026218e-05,8.620314199956379e-05,2.244664009799147e-05,6.1613740147347e-05,4.5205350147262007e-05,2.8583022708894102e-05,-8.937350830909958e-05,-3.183198654515969e-05,0.00010838271953952832,8.292610758183332e-05
QQQ,6.997996441276666e-05,8.74619868784804e-05,8.845599855487471e-05,0.00010498902477747226,0.00012688532212641504,0.0001235943047991306,0.00011037702332922773,4.004012898055145e-05,-5.4326881829558086e-05,3.4519011105720516e-05,7.753596640323959e-05,7.616802315911801e-05,6.402165200775583e-05,0.0001067366673774031,0.00015602971554956659,7.312350978198213e-05,2.0414098055051883e-05,0.00012231949018632143,1.5447624371397314e-06,7.094376685504953e-05,8.257035039063227e-05,8.204799243703446e-05,7.004890638976751e-05,4.384458094443917e-05,5.181395411946162e-05,1.3596057196934745e-06,4.0758766575730025e-07,4.308722720989188e-06,1.651841821220083e-05,3.869731273683933e-05,5.852537267689447e-05,4.2588645346381083e-05,0.00011057318897340424,4.763864756707351e-05,2.8927441852551203e-05,1.1396350014906568e-05,2.5531592776547954e-05,5.4958425887453895e-05,0.00010054414065694457,7.156532487459178e-05,4.0625194991754315e-05,3.0007026565721854e-05,5.8684904134275046e-05,5.6787353153371784e-05,5.132760982396985e-05,2.399730657966492e-05,5.322961071131673e-05,0.00010161006192330345,2.4518849426315545e-05,7.141470852271919e-05,4.063565768497418e-05,3.463509337522889e-05,-8.12912539670905e-05,-2.5200479895269766e-05,0.00010710758778966074,8.791817441331045e-05
IWF,6.740938365173953e-05,8.564473458083816e-05,8.377983152902673e-05,9.888211877119005e-05,0.0001235943047991306,0.0001218568942474842,0.00010378993945288425,3.9251941379683706e-05,-5.1998827190794674e-05,3.177510832878303e-05,7.756516546334918e-05,7.288049616195108e-05,5.9312460062038525e-05,0.00010229448200668518,0.00015388127563976153,7.063170119422852e-05,2.2185020211592323e-05,0.0001229831174977662,1.0210338946000523e-06,6.88582080918623e-05,8.077712649699538e-05,8.010313959919162e-05,6.771033810432027e-05,4.181367303306274e-05,4.952473322904926e-05,1.3092450167095088e-06,3.752423209499775e-07,3.893033591622741e-06,1.644406027412795e-05,3.812784005847847e-05,5.7351849635229556e-05,4.190001340695643e-05,0.0001067663541143438,4.651676753786241e-05,2.8519962535960644e-05,1.0919270197142787e-05,2.5283834024004825e-05,5.3934262212373e-05,9.843478973364287e-05,7.02594515431269e-05,4.0412367330671006e-05,3.009348355110918e-05,5.7525387170837046e-05,5.564391556730684e-05,5.0244080318213305e-05,2.376243446756076e-05,5.220997766415914e-05,9.873283085985073e-05,2.362732028805432e-05,7.070500299625022e-05,4.135360891624076e-05,3.796380253610479e-05,-7.413815481890718e-05,-2.1051625076627905e-05,0.00010258397783038469,8.71241135485472e-05
XLY,6.541486206641498e-05,7.488239490811717e-05,8.030091134513628e-05,9.601347980520475e-05,0.00011037702332922773,0.00010378993945288425,0.00011039040947474855,3.965609834377371e-05,-5.828916389274729e-05,3.2884691170592106e-05,6.936183288136647e-05,6.83269571724783e-05,6.459969598963578e-05,9.513166724089388e-05,0.00012820323542444328,6.424082077653704e-05,1.3509930141812875e-05,9.75097485067446e-05,2.593245668841055e-07,5.84553095479799e-05,6.846514429369616e-05,6.867078848967459e-05,5.698535815563161e-05,3.0915694955774776e-05,4.039412348749239e-05,1.1786069817361725e-06,4.6326878871097647e-07,5.214632423760843e-06,1.3313212668639751e-05,3.266346089099352e-05,5.139777792159366e-05,3.641634949868706e-05,0.00010461507896924945,4.2417513801186246e-05,2.5861693438874825e-05,1.1076062398638604e-05,2.1014483990649037e-05,4.741676008447194e-05,9.052689178927713e-05,6.284357240084278e-05,3.1425136724296806e-05,2.247156328120077e-05,5.1095745427085195e-05,4.9218520508044796e-05,4.506116244829379e-05,1.9823119752691307e-05,4.6171753284243795e-05,9.362979458454582e-05,2.2535457105716692e-05,5.730020794295264e-05,3.0157279773166168e-05,1.7757647193872255e-05,-0.0001012507191142339,-4.0970172662102866e-05,9.5985015030887e-05,6.979396042194193e-05
XLP,3.2407912337645925e-05,3.107829661502334e-05,3.476674822137299e-05,4.27187389637063e-05,4.004012898055144e-05,3.9251941379683706e-05,3.965609834377371e-05,2.8891291318953896e-05,-2.2671691838114182e-05,1.6446673751888964e-05,4.101992460715261e-05,3.376434171316049e-05,3.6387090369489116e-05,4.055182039211633e-05,4.73762043499817e-05,2.6662924252480793e-05,1.1841026487026628e-05,5.514609090834894e-05,3.695554473311449e-06,2.7332449315206764e-05,3.256069839048239e-05,3.263160652075736e-05,2.4062433247937364e-05,1.2460759170621274e-05,1.8152991843829956e-05,3.872743515981547e-07,2.7173313315204034e-07,1.909992154945328e-06,5.138176300169594e-06,1.3141024986078024e-05,2.1709388715026345e-05,1.4981494372405292e-05,4.477305444087169e-05,1.754077131632395e-05,1.3051179308079577e-05,4.825323745561973e-06,8.781359584034616e-06,2.0484892193346454e-05,4.126653368361826e-05,2.8145609383346612e-05,1.486969034943145e-05,1.1453145939817489e-05,2.091619541207933e-05,2.0121368232165018e-05,1.885547441765548e-05,7.743514558073396e-06,1.9354334266486948e-05,4.104259552562709e-05,9.90921162796769e-06,2.3384120013656075e-05,2.3378042296579015e-05,1.5723502532460155e-05,-6.041323199022437e-05,-2.5383610897080898e-05,4.0759692869909234e-05,3.328965470941743e-05
XLE,-3.616611495342346e-05,-3.751408647689844e-05,-3.283574540347764e-05,-3.595346386853087e-05,-5.4326881829558086e-05,-5.1998827190794674e-05,-5.828916389274729e-05,-2.2671691838114186e-05,4.647304058137041e-05,-1.672843519561581e-05,-4.668175188915362e-05,-2.93024172346012e-05,-2.6793443334481162e-05,-4.618729438536852e-05,-6.132466285062402e-05,-2.7019859576599542e-05,-1.34152163460621e-05,-4.0027508195884654e-05,1.0877675996361818e-05,-1.6706703534247832e-05,-2.523805319104455e-05,-2.555613790474834e-05,-1.598994401531987e-05,7.745064322249622e-06,1.3205766717869608e-06,-4.5755881851666985e-07,-2.072328180108258e-07,-3.460667737487225e-06,-6.31998003205614e-06,-1.577658045749331e-05,-2.5930031706031112e-05,-1.7835899071488253e-05,-5.639295508828882e-05,-2.1506646513257095e-05,-1.3400659811334327e-05,-6.153423915783219e-06,-9.671580583411792e-06,-2.2132194034608247e-05,-4.746967650949474e-05,-3.1306301043142564e-05,-1.1064501681477915e-05,-7.731345689259059e-06,-2.449046495848494e-05,-2.2629187637565218e-05,-2.235432403444007e-05,-9.517714346564576e-06,-2.250677568839085e-05,-4.901414245075705e-05,-9.942802211291013e-06,-2.399228152531802e-05,-8.31152161906603e-06,-6.770040687546647e-06,7.029071583298622e-05,3.392459717686731e-05,-4.694118669066239e-05,-2.476819524113152e-05
XLF,2.9875878497844194e-05,2.8161300147089813e-05,3.874863799634778e-05,4.727341058781096e-05,3.451901110572051e-05,3.177510832878302e-05,3.2884691170592106e-05,1.644667375188896e-05,-1.6728435195615808e-05,2.732861630260372e-05,2.9179571699428012e-05,3.476769652330706e-05,3.451839050135071e-05,4.722056030391586e-05,4.2708449503988805e-05,2.2992328926295495e-05,1.025720093935872e-05,3.284999331231477e-05,-3.4854215133234814e-07,2.4120971516557885e-05,2.768736364321052e-05,2.7675262509957834e-05,2.539815967696191e-05,1.5515618496901216e-05,1.5903913622034692e-05,3.412657999938788e-07,1.3542603971807718e-07,1.3283628451553925e-06,3.845615611977153e-06,1.001032729947586e-05,1.5463838241949693e-05,1.1068541143677875e-05,3.0481893707420086e-05,1.2410850806223452e-05,7.630844173500759e-06,3.576721249054173e-06,6.5784716675413375e-06,1.4419821915101189e-05,2.7379295587081477e-05,1.906560249047987e-05,1.225334611851835e-05,9.407999237598438e-06,1.4126658258168248e-05,1.3316339281119659e-05,1.3495494284317524e-05,5.808723162729522e-06,1.4001716469622546e-05,2.765001748409747e-05,6.690115475775038e-06,1.915671167103647e-05,1.461413651366514e-05,9.047477327375525e-06,-4.321238103872016e-05,-1.9633916460364425e-05,4.684495368982879e-05,2.545175890057882e-05
