
key = training_type

ContinuousTraining

key = model_output

VARimplied

key = var_implied

key = 1

,DIA,SPY,VO,IJH,QQQ,IWF,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,VOX,XLU,GDX,GUNR,IXUS,IEFA,EFA,VGK,VWO,IEMG,SHV,BIL,GBIL,SHY,IEI,IEF,VGIT,TLT,GOVT,MUB,SHM,VCSH,VCIT,VCLT,LQD,HYG,SHYG,MBB,VMBS,AGG,BSV,BIV,BLV,BNDX,EMB,GLD,SLV,USO,PDBC,VNQ,VNQI
DIA,0.051668471607007924,-0.010281794627597953,-0.008475655269486354,-0.005910879517717706,-0.00515867597637757,-0.005852404754957153,-0.003440305304457038,-0.0051342938165920395,-0.0004990091773053612,-0.0025935843134288305,-0.0073170784088091795,-0.0057414416800969014,-0.004073888746359578,-0.0036200509551414742,-0.005205764744930359,-0.0038416859013510017,-0.0034284518794676913,-0.0012272454281844827,-0.0027824728900520497,-0.0068754124735310625,-0.007861818931897541,-0.008288295320141312,-0.00699689111524997,-0.003818080380570611,-0.0033269350791939596,121.62320588373603,211.9242200459833,-60.6543506096175,-0.0007130313795984019,0.04867655145738937,0.020319307998282812,0.04354232310563679,0.007046474305098664,0.06927784335413159,0.01324799918136474,-0.17328933316180384,0.1430485907788151,0.037026902375124966,0.011935007210370647,0.028680266810267897,0.0129509600223392,-0.03749117004129003,0.24630854255140322,0.28974681245086087,0.09336956155090403,0.12824621349531237,0.04175879311765319,0.01077548521759944,0.04988296140282379,0.002344504782225778,-0.004696457175632569,-0.0010727719523213755,-0.0005921638474040739,-0.0019365506897755303,-0.005261816409085379,-0.010596977697602285
SPY,-0.01004344965464802,0.13008709165528068,-0.008857368804467738,-0.006232904259482166,-0.0055186286546842185,-0.006268204309627175,-0.0036724634811694367,-0.0050767610330031895,-0.000605726503679787,-0.0029084781701359907,-0.0075117934477441735,-0.00632853084996643,-0.0043978807273048325,-0.0029952294705622527,-0.005659991651852538,-0.004268017564866822,-0.002855515161171075,-0.0012928436268376644,-0.0031145407595192004,-0.007239963263841105,-0.008292647398643273,-0.008708824163392938,-0.007483282822294588,-0.003958774999731853,-0.0034942140258325204,122.94493952454394,237.3428099657031,-26.304025855314176,0.11058361117178594,0.06687903790078184,0.0255590427236403,0.05820060714283851,0.007713365603332112,0.07895733466734063,0.016110480179755374,-0.2591424714608708,0.21284230256343453,0.04592295923492412,0.013319542259807408,0.03251901146958972,0.011338819237263239,-0.04568417397575345,0.24057412455249724,0.2563303045838327,0.1058590184397128,0.19042069943784606,0.050501535152157453,0.01197879053083345,0.05140901078496321,0.003736896442900841,-0.004630207303999384,-0.0010730283119391656,-0.0007225839901839393,-0.0023097459553204813,-0.004683730239068316,-0.010768092653565771
VO,-0.010436310457658662,-0.01207269608358954,0.04386792253457593,-0.0070831807337392045,-0.006220236895412731,-0.007156088459214916,-0.004139441624611809,-0.004601523370047738,-0.0005421630908768561,-0.002645661951676583,-0.0080987837336442,-0.006562579363133375,-0.004508262794894515,-0.0038247336386500307,-0.006487834440807358,-0.004520713259854615,-0.0030416633822292352,-0.0013121752338535963,-0.0030528480265802883,-0.007217858728009505,-0.008274510358115012,-0.008670307631345705,-0.007509307258959757,-0.004133897756545932,-0.0034528665538096316,168.8671819245332,280.9648208372045,-62.522969718520436,0.20008488460873303,0.07365468746230967,0.021780695756572353,0.05660352298764577,0.007745988687976419,0.08127185927684005,0.041513169623244,-0.1780337409620051,0.33881586336303565,0.0559888098615557,0.014513530759445982,0.03691375308224938,0.03728223966864823,-0.005799773154606855,0.3580251592852958,0.37475713574757197,0.11445864309905834,0.27516298110557097,0.05662929889403988,0.012524862178150792,0.0619840056141685,0.008999517422963198,-0.005138546126056762,-0.0010918413652751993,-0.0005850035749778962,-0.0021397333595236734,-0.005916838102204124,-0.011740599149541365
IJH,-0.016826053410395753,-0.019238439866216626,-0.015826754755527753,0.022469448569548,-0.009874180091430948,-0.011324137360749902,-0.00657529884039748,-0.007967927401602388,-0.0008588063892015026,-0.004313525721264497,-0.0131578901058453,-0.010484197573857006,-0.007259647120216677,-0.006592671477633981,-0.01020465807128381,-0.007183882569754657,-0.00548130179815116,-0.0021412469686588344,-0.004884205907451005,-0.011811671433973268,-0.013520917208531026,-0.014197613565011591,-0.01218750373022122,-0.006743883750854429,-0.005670128186298807,263.3688229540935,434.0844757023254,-114.87887682520142,0.21000039889285316,0.10615211064397838,0.03380913055687193,0.08370829112593695,0.012437847105894902,0.1282937669421714,0.057129013024484046,-0.2699143531084931,0.4616393352399678,0.08254974506105697,0.022729832710011305,0.05699953026004284,0.05304057704181532,-0.020009851485397984,0.5559632082987511,0.6032666944728627,0.17824613225124414,0.37732725620826046,0.0853939708824419,0.0198021919953715,0.09775447627173418,0.01180207162263937,-0.008488507068237115,-0.0018369475610988055,-0.0009442221734823214,-0.0033898971024688323,-0.009912918936564992,-0.019195420624555634
QQQ,-0.014239990084664771,-0.016080652356497506,-0.01232597999451091,-0.008892555333750121,0.04058958420461349,-0.009085339895451492,-0.005282108345530733,-0.005879887427385467,-0.000954777264783581,-0.0041493711807304295,-0.01008947695519106,-0.009229232117913495,-0.0062429661504616344,-0.0028923195864824476,-0.00839784678582019,-0.006343144177373444,-0.002469323136267558,-0.0017859685728317273,-0.004567501897603339,-0.009678382186520722,-0.01110751637372521,-0.011585922924986307,-0.010267771947402415,-0.005250936557342077,-0.0046238163822366314,181.4354990906445,373.5885997061868,28.76907451700142,0.3783099333045408,0.12120203741182395,0.03964977259380608,0.09908397781546323,0.010960393962178499,0.12089726840224826,0.035039170665654026,-0.47630399302680243,0.48332174137584777,0.08048553565379378,0.020173584676885625,0.05094205752490689,0.02632301952442897,-0.047680770405023096,0.34520006450391094,0.3012698846247404,0.1614859841522191,0.4014056765697523,0.08324723538571066,0.01767925601886555,0.06962112164412758,0.01053669370049256,-0.006008736414769216,-0.0014245593650285715,-0.001123471203132421,-0.0036584681232301568,-0.0053204729483911925,-0.014358720979812252
IWF,-0.014153634987834805,-0.01588476895388888,-0.012150303803835288,-0.008706009694342744,-0.007820262065606553,0.17193226455734162,-0.005187754992758149,-0.006168516388350372,-0.0009497614038018221,-0.004168880784080136,-0.009871986980958739,-0.009158975849647925,-0.006121677319330983,-0.0030616082039241497,-0.008226097702942253,-0.006315956982053499,-0.0026974274183779088,-0.0017482553955886155,-0.004469278209867872,-0.009665110903025215,-0.011071635202094449,-0.011558801388486235,-0.010203601198477533,-0.005249441725283885,-0.00464398559247099,171.83546034406677,358.6167262778527,21.914248218077024,0.3490699012044922,0.11605411102867257,0.03929189103705666,0.09625094126865823,0.010798922600278062,0.11856283294709283,0.03339081883207692,-0.46695976023643015,0.4273427159248455,0.07535141835968778,0.019401405093913266,0.04858659836386337,0.019578132036651576,-0.05949171357857094,0.3271861099578978,0.2924482807581379,0.15594392716790667,0.3698971045078907,0.0796621573147785,0.01718662107064821,0.06815012349157006,0.008643152123186048,-0.005977260518206011,-0.001410280865742477,-0.0011211098274723748,-0.003581647281920967,-0.005442329899215395,-0.014289780138641415
XLY,-0.024172035681974065,-0.02691554701629097,-0.02114933330735283,-0.014849678719554222,-0.013413009853342935,-0.015206013466017321,0.12689864561024594,-0.012472492363150628,-0.0014454973287810564,-0.006857389059750569,-0.016767938512019194,-0.015316972632558122,-0.009896553853322916,-0.008377454945898958,-0.013798415686645488,-0.010732209705209267,-0.007383601212078243,-0.002852106986531069,-0.006873989520159371,-0.016694250255794685,-0.01898322799831425,-0.019911619440206287,-0.017202161943462288,-0.009363757336706953,-0.008157193325374252,294.2579017866323,556.170408933168,-90.32080730599644,0.3310057282976526,0.15245880877102677,0.055866932613612766,0.12902207997982557,0.01740902802895925,0.18609437642986254,0.06701093099844836,-0.5710315490779367,0.43938324921415295,0.09948394536491795,0.029228293292701397,0.07133574021918888,0.023076551513821954,-0.12385693778664522,0.6009439671122511,0.639102299909979,0.23495785473341807,0.448226165986698,0.11280440960907963,0.026549239843557358,0.12030617671772018,0.006969251685319577,-0.011234137058325551,-0.002509989858795026,-0.0016666087756835144,-0.005247155739834864,-0.012690477418829248,-0.026025037020591616
XLP,-0.003487895726962571,-0.003915479286812895,-0.0032390244801907835,-0.0023189074769136508,-0.0019891415152215523,-0.002278099464537409,-0.001326527443944282,-0.05826397427475379,-0.00017600892628752039,-0.0008667648751878287,-0.002610669280993257,-0.002141280151845846,-0.001433265277752668,-0.0016821665572304663,-0.002060999432024523,-0.0015170241537579012,-0.0013554773940286308,-0.00044039057884943993,-0.0009339995311164388,-0.002287583709474175,-0.002588172863940778,-0.0027191978160633016,-0.0023395950503976525,-0.0013297244794785081,-0.0011009330864289323,55.559108891941285,86.5746764256157,-24.60985385759549,-0.008684304676460813,0.01442574061466618,0.004587928978123142,0.01076223758755623,0.0023384325540327885,0.02621560486941433,0.010165844144436192,-0.05467011291230339,0.07728465167208744,0.013627144971446025,0.004263733163194069,0.010537707400662694,0.011931600670760543,-0.0010514841063786163,0.11442179374852318,0.12370806042455838,0.03204305713850331,0.05468331968689848,0.014199774093606427,0.0036658176859164712,0.016763611702329293,0.001990042212109472,-0.0019359172967693742,-0.00045947584503472767,-0.00019724702296825027,-0.0007129790204055161,-0.002417421415554419,-0.004140881859430515
XLE,-0.05775610357600351,-0.06141974445114567,-0.05158419162705534,-0.03539490792851819,-0.030255109230536918,-0.03402410433091259,-0.020272232588569694,-0.035825895651883266,0.021274792523620977,-0.016472076232174216,-0.04574072118774764,-0.03470140008532002,-0.025118784000272617,-0.02613060553245929,-0.029842948374966,-0.0230156940163242,-0.02597756529179444,-0.007900276714269825,-0.016925175054726113,-0.043190532528577096,-0.0491370288973839,-0.0520203794061346,-0.04320336627444175,-0.023771148668685887,-0.021000165307329847,681.8269923445487,1160.5979163032341,-434.6272776902271,-1.1389999464912428,0.17479526734228368,0.10746495936994856,0.18708813131703833,0.042530691855934694,0.4119869792567005,-0.0200057579453461,-1.0373694220293044,0.20835423494633637,0.15940581957349914,0.067952551878688,0.15551581637748782,0.03016945010146179,-0.2941341011040704,1.3141618557411072,1.7069905008281516,0.5149253819947248,0.18538339302326728,0.20098317233262825,0.06260640787199707,0.26928873342394916,-0.007208292824908928,-0.03129608814037617,-0.007697088877623401,-0.003816549507503217,-0.012003437901761975,-0.035950810559282266,-0.06800161332822628
XLF,-0.019546841060497134,-0.021493982738944813,-0.01785598598924117,-0.012115237601569379,-0.010882121311013949,-0.012243875213526162,-0.007186857385396748,-0.012256972572728623,-0.00098232988475587,0.0425340884089038,-0.0155151575143357,-0.011989911611589368,-0.008455126133567538,-0.007926144302055913,-0.010687981374828447,-0.00788760155975111,-0.008029002380169854,-0.0024799464438578452,-0.005723072137759812,-0.015427119026404633,-0.01767511778778656,-0.01869335088031134,-0.015494670458078307,-0.008588241419031304,-0.007572449418724404,226.79726347619808,400.6756851872759,-194.97943821233363,0.038180581133312505,0.10502916323182891,0.048984696078276505,0.1007289049643219,0.015259868269065356,0.13568315305257067,0.0327577025569343,-0.25818759159764937,0.11425760746216282,0.06871835670972157,0.023799713874095307,0.05576402834066929,5.550973626556498e-05,-0.13538043106255418,0.49059246744847423,0.6515181740248399,0.19346696231080296,0.2147430958977981,0.08551904106667829,0.02250374993694646,0.11952239463309217,-0.0013869883348702444,-0.009489560592809608,-0.0019255816752824766,-0.0011472000404214725,-0.003512460175470373,-0.01114172184987019,-0.022215271460122196
