
key = model_output

diff_score

key = diff_score_dict

key = diff_fit_variance_ts

,2018-12-28,2019-01-04,2019-01-11,2019-01-18,2019-01-25,2019-02-01,2019-02-08,2019-02-15,2019-02-22,2019-03-01,2019-03-08,2019-03-15,2019-03-22,2019-03-29,2019-04-05,2019-04-12,2019-04-19,2019-04-26,2019-05-03,2019-05-10,2019-05-17,2019-05-24,2019-05-31,2019-06-07,2019-06-14,2019-06-21
DIA,-0.027346971816490387,-0.035132446099275336,-0.033451645862977185,-0.0343560746406909,-0.05311201172832544,-0.07042653072240823,-0.08279322334226041,-0.07793483989987121,-0.09620592812452336,-0.1109389914691701,-0.09888887391417478,-0.10463175180458356,-0.10610991154712879,-0.12027552099532418,-0.11876326540286819,-0.13499796535964656,-0.15212524099545205,-0.168766217635768,-0.18580644343685007,-0.17403656704041823,-0.18474998363480147,-0.19647231858898434,-0.16387570117544398,-0.1408590863533621,-0.1504193082166214,-0.14917536570105525
SPY,-0.02733568395274199,-0.03453011145120884,-0.027966741144859468,-0.02314625931018891,-0.04177072798068493,-0.05559132906186198,-0.06767203695932356,-0.06727620511577195,-0.08501427073156347,-0.09977461273768182,-0.08556914112105887,-0.0838289724954899,-0.08597391390602159,-0.10276665838626077,-0.09693681738076723,-0.11363473390289267,-0.13205706756645644,-0.14758925717382684,-0.16540973488088634,-0.15263830648026633,-0.1619429842236837,-0.17198225058252467,-0.13969889057630222,-0.11925262421126838,-0.12779327514619268,-0.12738673621122557
VO,-0.027331788154669745,-0.032035856359732204,-0.005436456994689749,0.006847128004603568,-0.011393625515085878,-0.02075208388241691,-0.031881389139701496,-0.029100600563380943,-0.04641463753648391,-0.061286504208544396,-0.042866416944161115,-0.04602314510526792,-0.0500136675076143,-0.0631940690573768,-0.055055526494909385,-0.07059676404052191,-0.08650838669303933,-0.10243155333909795,-0.12035279464636657,-0.11269997814494093,-0.1220484013275165,-0.13145349266992942,-0.10459261304807804,-0.07954343304602676,-0.08833156644293247,-0.08962383821610527
IJH,-0.029689647560944638,-0.028382674679248956,0.004307134028292047,0.014003347604162034,-0.004258879257280852,-0.01801893350538065,-0.028682851049241103,-0.019776185608284643,-0.035862635107656235,-0.048970917648777645,-0.026586167952177164,-0.03394174802967286,-0.032104217404247154,-0.0393302196791732,-0.02803670442607195,-0.043038984990469493,-0.06027816652731085,-0.07589569218731752,-0.09353724915878014,-0.08336049491642779,-0.08296271591174831,-0.09290041956731929,-0.06500849082123389,-0.043813105028425066,-0.052362207070770744,-0.054005880474785224
QQQ,-0.03213511759664949,-0.04338621416629168,-0.037457656930859756,-0.03032674404372462,-0.04795401432488589,-0.05845713346533537,-0.07032600263199204,-0.07573302366407057,-0.09185922784295426,-0.10460443888620781,-0.094582246198916,-0.0867369245059154,-0.08854536049722525,-0.10600772068403803,-0.09546723071130338,-0.11087869403505814,-0.1277016748710684,-0.1426873883746082,-0.160157232443797,-0.1396120091833217,-0.14852528183105,-0.15003644630889731,-0.12208931704089523,-0.11526377024964676,-0.1212032278406589,-0.1148181529622296
IWF,-0.02722431246587574,-0.03724816921390123,-0.028570557302619783,-0.021135392635589185,-0.03937658006978787,-0.05034839112897257,-0.0617453790722225,-0.06467060078130124,-0.08131979845277221,-0.09518215075174033,-0.08177826444607884,-0.08148104912576587,-0.08358204529500282,-0.10019268063153626,-0.09257545525065791,-0.10839433506455039,-0.12590760468232695,-0.1396089581520901,-0.157013276213138,-0.1431841328438319,-0.1527948582903012,-0.16243091546997074,-0.1349862383663852,-0.12395418371406422,-0.13121475946908912,-0.12780575583506154
XLY,-0.025902385158075157,-0.033567066937367454,-0.01592776026387053,-0.011955496616565968,-0.029952523147786732,-0.042024851762532026,-0.054291588678947185,-0.05393126849422957,-0.06997992317284561,-0.08390857462385524,-0.06989337336782904,-0.07686406106209331,-0.07798763454006863,-0.09163445609919676,-0.0777485748511299,-0.09360932535011772,-0.110643726174811,-0.12684156191002463,-0.1416219417611769,-0.1293111741391703,-0.13909794526975983,-0.14171294282555497,-0.1137931387595045,-0.09878553149670628,-0.09582893951738,-0.09984835950173591
XLP,-0.026699029533437547,-0.02722359969897522,-0.03331698314617196,-0.03956894451474413,-0.04830335016625012,-0.04865835024988847,-0.059099612558748627,-0.06645779346942124,-0.0814897364920456,-0.09181697867414043,-0.08828526348546757,-0.08319012705748101,-0.08368702845378898,-0.09040593801745349,-0.0836566509978469,-0.10040584515443769,-0.10362679202220011,-0.11641919304471672,-0.13261736941022076,-0.13364386466269687,-0.14283609593911376,-0.15286629846975858,-0.11861651340398618,-0.07249141998282439,-0.08384230200469675,-0.0839156845234742
XLE,-0.023244249088161462,-0.019978193697005237,-0.017544408650745854,-0.013632737158860783,-0.029516326442195664,-0.032188638614960886,-0.03809197398001824,-0.03681600256890278,-0.05177599731671093,-0.06270919768071834,-0.04879264775334493,-0.05191363175318867,-0.05884396840879081,-0.0756339627907727,-0.08313363912581918,-0.09860837508928827,-0.11439893571320403,-0.13008742549108723,-0.12928838489459535,-0.12594876722391754,-0.1365998497071336,-0.14181047158606716,-0.12746798596694098,-0.103466089273599,-0.11264292949206271,-0.09629353294331788
XLF,-0.015346548397368681,-0.010318184709146038,-0.007979744817967524,0.01787797565269604,-0.0009388198996381257,-0.016689703804887088,-0.02588292774595828,-0.02608208271164412,-0.04394701602312627,-0.06198512362575874,-0.05815903950942958,-0.05838278101022516,-0.042437852976303564,-0.05780793292034219,-0.055124039270596704,-0.0671849899244125,-0.08322607787122085,-0.09696552998389305,-0.11338180255919658,-0.10951784730117035,-0.11748991281096419,-0.12772919220958373,-0.10599671980467079,-0.09682331336348025,-0.10668037442719686,-0.11046709529289174
